id	Wlambda1.unity	Wlambda2.unity	Wlambda3.unity	Wnu1.unity	Wnu2.unity	Wgamma1.unity	Wgamma2.unity	Wgamma3.unity	Weta1.unity	Weta2.unity	Weta3.unity	WT.unity	WA.unity	WV.unity	WK.unity	WG.unity	WD.unity	BCUTw.1l	BCUTw.1h	BCUTc.1l	BCUTc.1h	BCUTp.1l	BCUTp.1h	Fsp3	XLogP	MW	LipinskiFailures	nRotB	MLogP	nAtomP	nAtomLC	nB	nBase	nAtom	nAromBond	naAromAtom	ALogP	ALogp2	AMR	nAcid	nSmallRings	nAromRings	nRingBlocks	nAromBlocks	nRings3	nRings4	nRings5	nRings6	nRings7	nRings8	nRings9	tpsaEfficiency	Zagreb	WPATH	WPOL	WTPT.1	WTPT.2	WTPT.3	WTPT.4	WTPT.5	VAdjMat	VABC	TopoPSA	topoShape	geomShape	PetitjeanNumber	MDEC.11	MDEC.12	MDEC.13	MDEC.14	MDEC.22	MDEC.23	MDEC.24	MDEC.33	MDEC.34	MDEC.44	MDEO.11	MDEO.12	MDEO.22	MDEN.11	MDEN.12	MDEN.13	MDEN.22	MDEN.23	MDEN.33	khs.sLi	khs.ssBe	khs.ssssBe	khs.ssBH	khs.sssB	khs.ssssB	khs.sCH3	khs.dCH2	khs.ssCH2	khs.tCH	khs.dsCH	khs.aaCH	khs.sssCH	khs.ddC	khs.tsC	khs.dssC	khs.aasC	khs.aaaC	khs.ssssC	khs.sNH3	khs.sNH2	khs.ssNH2	khs.dNH	khs.ssNH	khs.aaNH	khs.tN	khs.sssNH	khs.dsN	khs.aaN	khs.sssN	khs.ddsN	khs.aasN	khs.ssssN	khs.sOH	khs.dO	khs.ssO	khs.aaO	khs.sF	khs.sSiH3	khs.ssSiH2	khs.sssSiH	khs.ssssSi	khs.sPH2	khs.ssPH	khs.sssP	khs.dsssP	khs.sssssP	khs.sSH	khs.dS	khs.ssS	khs.aaS	khs.dssS	khs.ddssS	khs.sCl	khs.sGeH3	khs.ssGeH2	khs.sssGeH	khs.ssssGe	khs.sAsH2	khs.ssAsH	khs.sssAs	khs.sssdAs	khs.sssssAs	khs.sSeH	khs.dSe	khs.ssSe	khs.aaSe	khs.dssSe	khs.ddssSe	khs.sBr	khs.sSnH3	khs.ssSnH2	khs.sssSnH	khs.ssssSn	khs.sI	khs.sPbH3	khs.ssPbH2	khs.sssPbH	khs.ssssPb	Kier1	Kier2	Kier3	HybRatio	fragC	FMF	ECCEN	SP.0	SP.1	SP.2	SP.3	SP.4	SP.5	SP.6	SP.7	VP.0	VP.1	VP.2	VP.3	VP.4	VP.5	VP.6	VP.7	SPC.4	SPC.5	SPC.6	VPC.4	VPC.5	VPC.6	SC.3	SC.4	SC.5	SC.6	VC.3	VC.4	VC.5	VC.6	SCH.3	SCH.4	SCH.5	SCH.6	SCH.7	VCH.3	VCH.4	VCH.5	VCH.6	VCH.7	C1SP1	C2SP1	C1SP2	C2SP2	C3SP2	C1SP3	C2SP3	C3SP3	C4SP3	ATSp1	ATSp2	ATSp3	ATSp4	ATSp5	ATSm1	ATSm2	ATSm3	ATSm4	ATSm5	ATSc1	ATSc2	ATSc3	ATSc4	ATSc5	nHBDon	nHBAcc	PPSA.1	PPSA.2	PPSA.3	PNSA.1	PNSA.2	PNSA.3	DPSA.1	DPSA.2	DPSA.3	FPSA.1	FPSA.2	FPSA.3	FNSA.1	FNSA.2	FNSA.3	WPSA.1	WPSA.2	WPSA.3	WNSA.1	WNSA.2	WNSA.3	RPCG	RNCG	RPCS	RNCS	THSA	TPSA	RHSA	RPSA	bpol	apol	MOMI.X	MOMI.Y	MOMI.Z	MOMI.XY	MOMI.XZ	MOMI.YZ	MOMI.R	LOBMAX	LOBMIN	GRAV.1	GRAV.2	GRAV.3	GRAVH.1	GRAVH.2	GRAVH.3	GRAV.4	GRAV.5	GRAV.6
0018_00001																		11.889999999999969	16.0172282497956	-0.3939790003942931	0.19360985430352223	4.338097513305009	14.087007966509269	0.9629629629629629	2.672999999999998	1109.2966011126193	4	16	4.870000000000001	2	30	84	0	169	0	0	-1.1979000000000004	1.434964410000001	266.8869	0	8	0	5	0	0	0	1	7	0	0	0	0.3403292435977306	434	32328	166	155.454926012366	2.0188951430177404	62.857342758862686	62.857342758862686	0	7.39231742277876		377.29	0.9333333333333333		0.4827586206896552	4.081086258153449	16.463266376244594	23.774441722151135	9.37615383302138	12.49715800744906	0	14.410781282503374	0	19.10901503827213	3.061516662731745	8.184002861450946	12.039981914412012	3.34644322176517	0	0	0	0	0	0	0	0	0	0	0	0	8	0	13	0	1	0	26	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.03174603174603	24.167561761546725	11.289496527777779	0.9629629629629629	25124.23	0.6103896103896104	3659	56.644806454223904	36.04067597847715	35.48081747600517	32.474254100108574	25.72590082193945	20.59753862785514	16.065935880524616	11.7830858794432	45.75503567975525	27.895798444150625	25.74400583429969	20.894379249502563	16.25991921986283	12.124813434381236	9.114014563045005	6.416928550040208	22.37408157357793	36.59459720516168	58.10260342869454	13.761649645625653	22.477017043523645	34.57813555625947	8.453492030797728	0.6329795093937626	3.8278273152525313	0.7001449103892624	5.935733954577345	0.5719752754296894	2.3320316233964014	0.6400192252615076	0	0	0.08333333333333333	0.5135768979550632	1.8446823213493084	0	0	0.08333333333333333	0.4368897734802422	1.2430960227013619	0	0	0	1	1	16	27	5	4	6160.878058415268	7664.991275348637	12129.313859923735	14312.631729647586	14014.767350481821	94.81278781744176	94.29485129110947	153.03456697592458	201.19185570961122	192.98865528807892	2.812935309446968	-0.868990353075273	-1.0410238139790586	0.5795159895129154	-0.6434919291264306	15	23																														115.90304400000004	174.8309560000001																		
0018_00002																		11.889999999999965	16.016209065516218	-0.39397900039066075	0.19345019495808563	4.232737048644891	14.086801749501904	0.9622641509433962	2.9159999999999977	1079.2705787806103	4	16	4.87	2	30	82	0	165	0	0	-0.687200000000004	0.4722438400000055	260.9244	0	8	0	5	0	0	0	2	6	0	0	0	0.3310425775266122	424	29986	160	151.5651869716159	2.0208691596215456	60.318985274632766	60.318985274632766	0	7.357552004618085		357.06	0.9333333333333333		0.4827586206896552	4.081086258153449	16.463266376244594	23.36423994183907	9.37615383302138	12.49715800744906	0	14.410781282503374	0	18.88801174176847	3.061516662731745	7.191315623250161	11.398986982700656	3.34644322176517	0	0	0	0	0	0	0	0	0	0	0	0	8	0	13	0	1	0	25	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.07971445568114	23.334082840236686	10.85377999094613	0.9622641509433962	24034.22	0.6133333333333333	3546	55.06745618503428	35.12999237595419	34.621700719608626	31.6449094762044	25.247078480077395	20.087048244693232	15.611514898211745	11.497998678354099	44.73047181506567	27.304266221070133	25.253413347569843	20.544468878560014	16.057898373006903	11.882802600948107	8.962404217467302	6.352153951996789	21.766959171895937	35.76525258125749	56.287084697474214	13.585288810733719	22.28484859873589	34.158032411793435	8.261041941067852	0.6329795093937626	3.7167162041414206	0.7001449103892624	5.849667657994958	0.5719752754296894	2.3098094011741797	0.6400192252615076	0	0	0.16190075346517194	0.7364619281671999	2.0793621459928504	0	0	0.12869425449598476	0.5018662082064727	1.2736073531525365	0	0	0	1	1	16	26	5	4	6024.425685753166	7504.492342026283	11905.26630999789	13942.158738850298	13698.483572551737	92.03831878190081	91.9627593139769	149.37038302165945	193.42111074267257	184.4434412855993	2.7178157664890867	-0.8691550417169374	-0.9944606836417835	0.6057333997637472	-0.6492962842072856	14	22																														113.71663000000004	170.9353700000001																		
0018_00003																		11.89000000000002	16.012132775940582	-0.393979000391741	0.1914430157542625	4.369295755512167	14.083854354812512	0.9583333333333334	4.209999999999997	947.1557535557864	4	13	4.76	2	25	72	0	148	0	0	0.5489999999999942	0.3014009999999936	234.4736	0	7	0	4	0	0	0	1	6	0	0	0	0.31497539836698	374	20533	144	133.14398769843137	2.01733314694593	48.99661582700794	48.99661582700794	0	7.169925001442312		298.14	1		0.5	4.081086258153449	16.28019258153403	21.35569778739033	9.37615383302138	11.962702165643202	38.82998854961173	14.510881202336215	0	17.709622397222464	3.061516662731745	5.886982741901753	8.49937162032155	2.1982260410637675	0	0	0	0	0	0	0	0	0	0	0	0	8	0	12	0	1	0	21	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.79050925925926	20.13156899810964	9.252680268206102	0.9583333333333334	19426.18	0.5909090909090909	2633	48.63673476471615	30.84229867571951	30.57025536645872	27.814677605993214	22.38067070471505	17.981624448956836	14.072973592333412	10.416147798587632	40.003040185192994	24.383838235330593	22.89597001489788	18.801116703793053	14.87828763207782	11.17351542394345	8.537125983623843	6.074577441148133	19.661569943073562	32.74453040911696	52.56407371324356	12.920953749363717	21.481500323834986	33.392144879131685	7.542808428274768	0.6329795093937626	3.4131550033004348	0.7001449103892624	5.52575446440969	0.5719752754296894	2.2483975964382283	0.6400192252615076	0	0	0.08333333333333333	0.4682159767924118	1.644449527951395	0	0	0.08333333333333333	0.410700633436296	1.178749414084868	0	0	0	1	1	14	23	5	4	5520.158510001656	6897.3531933402655	11021.036224899615	13059.758159188816	12877.126131790812	79.94044263973703	79.97020745118152	130.60708619192542	171.22412172503982	167.56985937458944	2.16984098287776	-0.6663311293838855	-0.7965514907749336	0.45372590136722174	-0.511134527934927	12	18																														101.13897400000002	153.5930260000001																		
0018_00004																		11.99611375475034	16.000016085128216	-0.4174910968114145	0.13885761853433637	5.38936798645445	14.054536206187949	0.9	3.911	490.7161392327763	0	5	4.21	2	16	38	0	85	0	0	3.875999999999996	15.023375999999969	139.02180000000004	0	4	0	1	0	0	0	1	3	0	0	0	0.19983040208810832	206	3460	79	69.8067152839705	1.9944775795420144	12.392629055389602	12.392629055389602	0	6.247927513443585		97.99	0.875		0.4666666666666667	4.081086258153449	12.364290458226069	14.311461845627257	9.176963480597303	7.162321264212044	19.500270794572174	11.161668506835726	9.118953602747084	12.11272796072942	2.394649460991816	1.3505492671027828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	8	0	0	0	6	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.019390581717452	8.763550295857987	4.0254364666435425	0.9	6554.05	0.4857142857142857	842	26.353006672199008	15.909208826472016	17.537753815017965	14.95524122875601	12.093365831383787	8.976158068101007	7.2214663684113045	5.143573418644821	23.31805853709383	13.932708861063658	14.547050079199714	11.910576529389246	9.773856734332014	7.0215770884554605	5.604911493716665	3.8370296909775825	13.159964676371372	21.84537404383244	34.24777255793105	9.730754962573354	16.563182215340124	25.36064152038292	5.741302947239723	0.7773170766911691	2.8249670869937593	0.8357821995465626	4.422332262315503	0.5817385626330291	1.9012576774367085	0.5713308163094499	0	0	0.08333333333333333	0.34939211173666973	1.033115653159866	0	0	0.0625	0.28124240668896855	0.826771710816474	0	0	0	1	2	8	11	4	4	3376.0727959390324	4258.238253518363	6992.3425674159225	8069.36003094218	7482.281890572374	38.87234517770473	39.66045988566282	68.6530117484582	84.86613377380522	82.7558486925294	0.45754671295857535	-0.07948122027779593	-0.19259811385637995	0.011501181642529555	0.06158410465546675	4	5																														55.61834999999999	90.14964999999995																		
0018_00005																		11.996113756636857	15.999305109778623	-0.4174703878138567	0.1388673789783771	5.38930195231964	14.049674649646185	0.9	4.929000000000001	472.70085279755534	0	4	4.319999999999999	2	16	38	0	82	0	0	4.6424999999999965	21.552806249999968	135.51170000000002	0	5	0	2	0	1	0	1	3	0	0	0	0.1483205668984649	208	3173	75	68.47193043211865	2.0138803068270192	10.470060141680928	10.470060141680928	0	6.247927513443585		70.06	0.875		0.4666666666666667	4.081086258153449	12.364290458226069	14.311461845627257	9.176963480597303	7.162321264212044	19.500270794572174	11.161668506835726	9.118953602747084	12.11272796072942	2.394649460991816	0.3334858886559278	0.41491326668312184	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	8	0	0	0	6	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.641274238227147	7.757575757575758	3.4444444444444446	0.9	6274.04	0.6764705882352942	841	25.06011345338556	15.593660238339526	17.182251689772862	14.808081332961482	12.407061503354042	9.34384107508485	7.33258917018953	5.2887110659614764	22.831879636557776	13.890729579193964	14.5904508399977	12.11260148255646	9.975682137237655	7.195832960264267	5.6949564904367875	3.932602423964471	12.187889823446318	20.9969123313031	33.36718085552204	9.65097380951423	16.512971692487582	25.34716597738609	5.376938822638326	0.6927660873282877	2.408300420327093	0.6691155328798961	4.373858762939793	0.5704902479572065	1.8260431413700708	0.5379974829761166	0.20412414523193154	0.526099420661621	0.3190355937288492	0.7998735612313211	1.4200101873341853	0.11785113019775793	0.30374364213949306	0.19858276348795434	0.4661032912767024	0.9794496812048885	0	0	0	1	2	8	11	4	4	3310.464315702033	4217.075440357412	6850.356675952162	7874.602061828525	7345.704426888463	37.097876142163784	39.66045988566282	65.98882779419307	79.09538880686658	79.64928767985589	0.4574794775088616	-0.1246138909509629	-0.14638197303169168	0.04898638391582906	0.020830820350918683	2	4																														55.34793599999999	88.01406399999996																		
0018_00006																		11.996108830228136	16.00001841026142	-0.4174624029163568	0.25847172142715463	4.139844411819752	14.065669456146118	0.875	5.669000000000001	514.7376110263522	2	6	4.430000000000001	3	16	41	0	87	0	0	5.021599999999998	25.216466559999976	144.6632	0	5	0	2	0	1	0	1	3	0	0	0	0.1480075002751189	222	4037	79	74.33599574071725	2.0090809659653313	13.338435962755545	13.338435962755545	0	6.357552004618084		76.13	0.875		0.4666666666666667	4.931754836083061	13.141903132348181	16.921137394920873	9.554073038496462	7.162321264212044	20.17315175060461	11.161668506835726	10.555038661886371	12.514339243624415	2.394649460991816	0.29516044404185915	0.841880795934555	0.33333333333333337	0	0	0	0	0	0	0	0	0	0	0	0	9	0	8	0	0	0	6	0	0	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.52587745389649	9	4.1616	0.875	6949.05	0.6216216216216216	926	27.344570503761734	16.987507088456876	18.594596571478863	15.39534855998053	12.997491856118595	10.128681305379848	8.220643120532845	5.645620546363306	24.701162621985542	14.776481240306182	15.170987639812235	12.4089589158945	10.266699054934456	7.507757200968495	5.983273844742757	4.034541982392181	12.362108279885996	21.256356154972895	34.202927751371014	9.730903551332695	16.680494585349813	25.712181997693676	5.716151519373342	0.6927660873282876	2.3838926520926385	0.669115532879896	4.448007885799119	0.5704902479572066	1.8241684222574341	0.5379974829761165	0.20412414523193154	0.526099420661621	0.3190355937288492	0.7789504899349408	1.5835735999066602	0.11785113019775793	0.30374364213949306	0.19858276348795434	0.47468967377612853	1.0317755827237562	0	0	1	1	2	9	11	4	4	3491.0413162700856	4430.9857038624295	7152.4019936446675	8251.60162655942	7865.6319080669755	40.87234517770473	43.324643839927944	71.42748078399914	83.42748078399914	87.64556361125358	0.6446643394618707	-0.26163930985309064	-0.09543640234672575	0.09760652831335787	-0.07045198752091346	1	5																														60.408349999999984	93.66964999999998																		
0018_00007																		11.889999999999993	16.00805947434322	-0.39371859497952916	0.18904106261818707	4.404920807364247	14.051158869679572	1	3.3259999999999996	784.9718120144323	3	7	4.43	0	20	62	0	123	0	0	-0.34790000000000476	0.12103441000000331	194.57609999999997	0	8	0	4	0	1	0	2	5	0	0	0	0.29092590573621757	336	11181	124	112.01082725758967	2.0365604955925396	38.072669697698934	38.072669697698934	0	6.954196310386876		228.21999999999994	0.9		0.47368421052631576	3.1761525505920565	12.679803216912857	15.50918524122528	11.122411596777713	10.300800658385828	30.44162860583363	18.79724733153439	21.617224093496482	20.511574486472504	5.55762254782272	3.6900257811615553	6.049223459172335	1.5834725496384066	0	0	0	0	0	0	0	0	0	0	0	0	7	0	11	0	0	0	16	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.72216441207076	13.5	5.849062650216312	1	13930.14	0.6727272727272727	1716	40.051312806018764	25.510111223976565	27.27166271505007	24.23525330271687	20.460406839210624	16.784550233738766	13.297027638984405	10.579999309198913	33.58194271190497	20.86765699914627	21.057422491544898	17.44573866428191	14.64528625925605	11.682334309118072	9.10081554897301	7.157609080452854	18.516332383060963	31.75720239737764	51.78107270702901	12.811287313879426	22.063233213957382	35.49429458926649	7.938544759995747	0.948141081088224	3.3982827672619513	0.8337937115183678	5.812441586998012	0.7275611574029184	2.288320159020975	0.6738927274946611	0.17677669529663687	0.45412414523193156	0.4526391177594486	1.6975562289494994	4.0903680171911025	0.17677669529663687	0.45412414523193156	0.4095026102423618	1.5151106150131226	3.392660346528469	0	0	0	0	0	11	20	5	5	4920.678686797681	6379.681968808883	10431.883241491505	12191.32411175016	12016.489692385516	65.84256649757324	68.3097475655187	115.84006529358908	144.25266367186612	141.48315543823253	1.6712744749916484	-0.517198971360219	-0.5701786832743466	0.11913120963099612	-0.01631502582503148	9	14																														83.91807600000001	128.72992400000007																		
0018_00008																		11.996132965972782	15.999299828431543	-0.4180997839696415	0.29050456280992476	4.204526504094323	12.947550720253759	0.7916666666666666	4.124999999999999	386.5252668632663	0	1	3.6599999999999997	7	15	32	0	62	0	0	3.3137000000000008	10.980607690000005	108.56239999999998	0	5	1	2	1	0	0	1	4	0	0	0	0.17284334375559784	168	1842	61	58.07158071194548	2.0739850254266243	10.685271291278243	10.685271291278243	0	6		66.76	1		0.5	0.16666666666666669	5.660779646344736	3.39099326869421	2.4811113252000823	15.70633243986141	23.525903455196847	11.674025347806337	4.967584429431526	7.194747851793687	1.3103706971044482	0.31118495001234125	0.5723571212766659	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	9	0	0	3	5	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.93359375	6.75	2.7777777777777777	0.7916666666666666	3600.04	0.8214285714285714	639	19.7338400397525	13.277459110307486	13.411356683062325	12.474558631181926	10.367449328195852	8.975769616475372	6.601052502897437	5.144676137364946	17.19368695612358	11.270222186808553	10.781008739010835	9.950057445628799	8.303954176423405	6.751171689998458	4.981304523790095	3.8075073839823883	8.686202620093503	14.622752387558892	23.736078164383922	6.672086187802875	11.342373010079355	17.362569313755333	3.189274941959142	0.32197527542968946	1.628564413248357	0.5358934516931788	2.4125613097245964	0.2655567492724875	1.1999113404514492	0.33931129575362584	0	0	0.07216878364870323	0.5107400244700705	1.2587720426840183	0	0	0.07216878364870323	0.40157234889707366	0.9444025988558896	0	0	2	2	1	2	10	5	2	2589.57233122431	3275.6046037373776	5302.391735351079	5904.780191878756	4939.19370118425	31.097876142163784	33.66045988566282	55.431204852601454	64.98510372559076	54.98882779419307	0.39642987118457257	-0.21021134834945193	0.05090909337814155	-0.03343657801079446	0.023026034781184625	2	4																														40.043037999999996	68.11896199999995																		
0018_00009																		11.99612566345762	16.000812099920292	-0.4130525165201509	0.2905546413612625	4.227853760197275	13.321081737872404	0.7692307692307693	3.8350000000000004	444.56143001963267	0	3	3.66	7	15	36	0	68	0	0	2.399599999999999	5.758080159999995	119.26299999999999	0	5	1	2	1	0	0	1	4	0	0	0	0.209476085311015	188	2567	68	65.80514759481021	2.056410862337819	16.109380682013263	16.109380682013263	0	6.169925001442312		93.06	1		0.5	0.4367902323681495	6.570639604897283	5.9278112512294	2.7726976249125057	12.842563711688472	25.907254444646043	10.577797151578546	8.5295783330886	8.819732054254002	1.3103706971044482	0.6569072895002696	1.5280371643005493	0.19999999999999996	0	0	0	0	0	0	0	0	0	0	0	0	3	0	8	0	0	3	6	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.728395061728396	8.293697978596908	3.612456747404844	0.7692307692307693	4192.06	0.71875	725	22.888540578131753	15.081989562947799	15.385724810367252	13.324286585175964	11.578835472125167	10.167231813518823	7.819134266197002	6.107636370047898	19.38042702505438	12.247506071001267	11.519427237062512	10.211487102804348	8.667818625655505	7.1312546666877115	5.308246639944746	4.029672521800322	9.112704020974457	15.933746416840476	26.709424436160397	6.764173172064393	11.677189885696917	18.240595223060065	3.742563813756851	0.32197527542968946	1.632112922963971	0.5282474758985009	2.573390948640235	0.26555674927248757	1.1884954911074206	0.3326896864787136	0	0	0.05892556509887897	0.5012639328064162	1.3386980528968384	0	0	0.05892556509887897	0.38283088946891874	0.956049402519246	0	0	3	2	1	3	10	5	2	2878.0714610708596	3648.155673742651	5938.527411517052	6778.149859004541	6135.588648538634	36.646814213245676	38.656735817060515	63.53404179667265	73.31347163412102	71.08794066966198	0.6679066907456995	-0.3548160513806339	0.09480092933963322	-0.09064688328713662	0.05726071136096938	2	6																														45.10345199999999	74.57654799999997																		
0018_00010																		11.99608341069406	16.012391947886062	-0.41065112299492823	0.19141235575433774	4.41115503667279	14.598124623390607	0.9583333333333334	3.0389999999999984	947.1557535557863	4	12	4.76	2	22	72	0	148	0	0	0.26779999999999937	0.07171683999999966	234.5212	0	7	0	4	0	0	0	1	6	0	0	0	0.31497539836697996	376	18349	145	132.9757959568464	2.014784787224946	48.99908307068878	48.99908307068878	0	7.169925001442312		298.14	0.9090909090909091		0.47619047619047616	4.532985646134365	15.143628410373402	27.110025303155947	9.50392339131491	9.634183029816576	37.114698146644734	13.085889694719432	0	20.792478025625073	3.061516662731745	6.231937536890748	9.188462609272918	2.495917924343401	0	0	0	0	0	0	0	0	0	0	0	0	9	0	10	0	1	0	22	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.79050925925926	19.785969084423307	9.142857142857142	0.9583333333333334	19426.18	0.5909090909090909	2277	48.79987147153269	30.71497747578168	30.933949158926097	27.857203595440378	22.438648156030553	18.1652687616081	14.258030567001363	10.713531317742312	40.16617689200955	24.328244671120004	23.036204073630433	18.674369559960944	14.870868292171371	11.201193881632468	8.539110020469085	6.060653727692729	20.089306973403197	33.44489990125604	54.60400496594331	12.89205885467332	21.561685637316607	33.833517614534934	7.8195685273221756	0.6329795093937626	3.5514444986271267	0.716203688792599	5.651062248199206	0.5719752754296894	2.227825984782617	0.6261523120374236	0	0	0.08333333333333333	0.4605700009977337	1.65483808810888	0	0	0.08333333333333333	0.40305465764161785	1.1627749874920388	0	0	0	1	1	14	23	5	4	5646.386246671614	7091.468883736705	11425.79662282033	13694.230387411864	13957.858582467696	79.94044263973703	79.97020745118152	131.93917816905795	172.11383664376393	172.78794220184383	2.1425492731209905	-0.6742866024001875	-0.7502574985378275	0.40041060236146325	-0.44692487913752554	12	18																														101.13897399999998	153.59302600000007																		
