id	Wlambda1.unity	Wlambda2.unity	Wlambda3.unity	Wnu1.unity	Wnu2.unity	Wgamma1.unity	Wgamma2.unity	Wgamma3.unity	Weta1.unity	Weta2.unity	Weta3.unity	WT.unity	WA.unity	WV.unity	WK.unity	WG.unity	WD.unity	BCUTw.1l	BCUTw.1h	BCUTc.1l	BCUTc.1h	BCUTp.1l	BCUTp.1h	Fsp3	XLogP	MW	LipinskiFailures	nRotB	MLogP	nAtomP	nAtomLC	nB	nBase	nAtom	nAromBond	naAromAtom	ALogP	ALogp2	AMR	nAcid	nSmallRings	nAromRings	nRingBlocks	nAromBlocks	nRings3	nRings4	nRings5	nRings6	nRings7	nRings8	nRings9	tpsaEfficiency	Zagreb	WPATH	WPOL	WTPT.1	WTPT.2	WTPT.3	WTPT.4	WTPT.5	VAdjMat	VABC	TopoPSA	topoShape	geomShape	PetitjeanNumber	MDEC.11	MDEC.12	MDEC.13	MDEC.14	MDEC.22	MDEC.23	MDEC.24	MDEC.33	MDEC.34	MDEC.44	MDEO.11	MDEO.12	MDEO.22	MDEN.11	MDEN.12	MDEN.13	MDEN.22	MDEN.23	MDEN.33	khs.sLi	khs.ssBe	khs.ssssBe	khs.ssBH	khs.sssB	khs.ssssB	khs.sCH3	khs.dCH2	khs.ssCH2	khs.tCH	khs.dsCH	khs.aaCH	khs.sssCH	khs.ddC	khs.tsC	khs.dssC	khs.aasC	khs.aaaC	khs.ssssC	khs.sNH3	khs.sNH2	khs.ssNH2	khs.dNH	khs.ssNH	khs.aaNH	khs.tN	khs.sssNH	khs.dsN	khs.aaN	khs.sssN	khs.ddsN	khs.aasN	khs.ssssN	khs.sOH	khs.dO	khs.ssO	khs.aaO	khs.sF	khs.sSiH3	khs.ssSiH2	khs.sssSiH	khs.ssssSi	khs.sPH2	khs.ssPH	khs.sssP	khs.dsssP	khs.sssssP	khs.sSH	khs.dS	khs.ssS	khs.aaS	khs.dssS	khs.ddssS	khs.sCl	khs.sGeH3	khs.ssGeH2	khs.sssGeH	khs.ssssGe	khs.sAsH2	khs.ssAsH	khs.sssAs	khs.sssdAs	khs.sssssAs	khs.sSeH	khs.dSe	khs.ssSe	khs.aaSe	khs.dssSe	khs.ddssSe	khs.sBr	khs.sSnH3	khs.ssSnH2	khs.sssSnH	khs.ssssSn	khs.sI	khs.sPbH3	khs.ssPbH2	khs.sssPbH	khs.ssssPb	Kier1	Kier2	Kier3	HybRatio	fragC	FMF	ECCEN	SP.0	SP.1	SP.2	SP.3	SP.4	SP.5	SP.6	SP.7	VP.0	VP.1	VP.2	VP.3	VP.4	VP.5	VP.6	VP.7	SPC.4	SPC.5	SPC.6	VPC.4	VPC.5	VPC.6	SC.3	SC.4	SC.5	SC.6	VC.3	VC.4	VC.5	VC.6	SCH.3	SCH.4	SCH.5	SCH.6	SCH.7	VCH.3	VCH.4	VCH.5	VCH.6	VCH.7	C1SP1	C2SP1	C1SP2	C2SP2	C3SP2	C1SP3	C2SP3	C3SP3	C4SP3	ATSp1	ATSp2	ATSp3	ATSp4	ATSp5	ATSm1	ATSm2	ATSm3	ATSm4	ATSm5	ATSc1	ATSc2	ATSc3	ATSc4	ATSc5	nHBDon	nHBAcc	PPSA.1	PPSA.2	PPSA.3	PNSA.1	PNSA.2	PNSA.3	DPSA.1	DPSA.2	DPSA.3	FPSA.1	FPSA.2	FPSA.3	FNSA.1	FNSA.2	FNSA.3	WPSA.1	WPSA.2	WPSA.3	WNSA.1	WNSA.2	WNSA.3	RPCG	RNCG	RPCS	RNCS	THSA	TPSA	RHSA	RPSA	bpol	apol	MOMI.X	MOMI.Y	MOMI.Z	MOMI.XY	MOMI.XZ	MOMI.YZ	MOMI.R	LOBMAX	LOBMIN	GRAV.1	GRAV.2	GRAV.3	GRAVH.1	GRAVH.2	GRAVH.3	GRAV.4	GRAV.5	GRAV.6
0255_00294																		11.993426471047407	30.97476461400302	-0.387767366997281	0.46143186502997285	2.101572179290228	9.863660417081483	0.5	-5.253999999999999	427.20155884614076	2	6	0.69	10	14	29	0	42	0	0	-4.4276	19.60364176	85.38970000000002	3	3	2	2	1	0	0	2	1	0	0	0	0.5829574994617703	148	1925	42	53.951539006342486	1.998205148383055	47.92255484170666	25.99948271947185	15.343591975533846	5.857980995127573		248.93999999999997	0.8571428571428571		0.46153846153846156	0	0	0	0	0.5777570356662537	6.586065652550434	0	8.25020561791714	0	0	4.469044339503934	5.806026521330462	0.9654893846056297	0	1.040041911525952	0.25	1.1447142425533319	1.1905507889761497	0	0	0	0	0	0	0	0	0	1	0	0	2	4	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	5	2	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.702734839476815	8.024691358024691	4.950743801652893	0.5	1234.17	0.5185185185185185	579	19.98276318419594	12.483782345929072	13.295297247867678	9.434952857435027	8.330134615465107	5.594286722900511	4.139889467885559	3.0205491232049084	13.657034587760918	7.929264398334039	6.112972513117382	3.9913499836244863	2.760353628934399	1.605402755641957	0.9629085949983015	0.5851194187164721	5.496481295132351	10.146765528544954	12.489304085190447	1.5565481667096877	2.0700297292269694	2.0947237375050123	4.099367113440119	0.6035533905932737	0.5487952876394917	0	0.9795935251600392	0.0427944968986288	0.12262987850565153	0	0	0	0.17479246499677625	0.5052451915809497	0.890413815992102	0	0	0.07422843462213273	0.15137720151350367	0.18735307230263853	0	0	2	1	0	2	3	0	0	1196.4611093232788	1456.2892299402622	2152.2287235078625	2033.9303992835048	1799.3980957978752	47.84541946236198	51.804291792549215	67.33627400110396	67.73845675638069	62.063866261262476	1.472739787472261	-1.074891147774592	0.6077962243007712	-0.4967654546826209	0.2838028073660685	6	15																														44.30210499999999	48.38189499999999																		
0255_00923																		11.99853728292385	31.97267823865089	-0.30998838679431434	0.31902089703610126	4.052055240657095	8.469128838585048	0.75	-0.269	183.16711573819208	0	4	1.2399999999999998	6	6	9	0	20	0	0	-0.28330000000000066	0.08025889000000037	41.43	0	0	0	0	0	0	0	0	0	0	0	0	0.49455800174657155	42	122	11	18.25586556434545	1.8255865564345448	16.38779792800458	7.4935921136876065	2.8367595924414424	4.169925001442312		90.51	0.6666666666666666		0.4	0.646330407009565	0	1.1905507889761497	0	0	0	0	0	0	0	0.25	0.7071067811865476	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	4	3.7024793388429753	0.75	271.06	0	70	8.198670612749268	4.5378225629960305	4.115737948315653	2.608154351477155	1.5242736942483017	0.5773502691896258	0	0	7.120645797997202	4.292686895572373	3.2879796585424694	2.245376531774798	1.0918984081716905	0.3858576547112662	0	0	1.948414743035984	2.6494651325809233	2.250035887219581	1.0975484523352717	1.1711796733317885	0.7708211995926003	1.3350249857604999	0.17677669529663687	0	0	0.630568927578611	0.06849957804389888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	370.24459205273456	379.87673988671884	451.12973383593766	384.9864970390626	261.23705257910166	24.461554246634385	24.26299828243505	26.89590077987458	20.34648535584629	15.439306681552257	0.451379543398459	-0.33981751656601644	0.29556674180589165	-0.31717740083001084	0.18470391815194154	1	4																														22.904069999999997	23.74393																		
0255_00929																		11.997382604099084	19.002914060781407	-0.29070255642759346	0.43689130067515447	3.566139767216745	9.881404204668707	0.05263157894736842	2.162	394.2955627002664	0	6	2.5599999999999996	22	15	30	0	39	0	0	2.4578999999999995	6.041272409999998	100.9066	0	3	3	3	3	0	0	0	3	0	0	0	0.12863064082579545	146	2165	43	56.39156003209945	2.0139842868606945	24.086728868331882	5.730736171104937	6.156851562848027	5.906890595608519		50.69	1		0.5	0	0	0	0	9.286444369849365	19.63107556391193	1.8376751073200366	7.638371893511297	1.4927753288936956	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	1	7	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.68	9.871281773931855	6.25	0.05263157894736842	925.09	0.75	638	20.31119030894213	13.236202008657775	12.90824765875888	9.626093152319534	7.728496269378751	6.226553733346817	3.8220955512470445	2.7556748682437444	13.927035233370079	7.803832183735985	5.5620603271441365	3.5710019785004796	2.2730003918030555	1.464672134661888	0.6797192708990892	0.3786670301011216	4.949961174288709	6.835124453863044	9.283872392543165	1.0637199529853572	1.1881292223211637	1.2463289084391087	2.9439828685209095	0.2886751345948129	0.7151302586988921	0.14433756729740646	0.6440757360359921	0.01349873117890097	0.0793703536150915	0.004499577059633658	0	0	0	0.23470804841064383	0.3918256052173166	0	0	0	0.07335061313960894	0.07498446565837887	0	0	3	13	2	1	0	0	0	1446.0453328005453	1685.0763467343925	2304.375588576394	2322.1978164674165	2058.0685036263867	37.77911936884811	34.56992922174525	54.84482896636973	53.48250968380959	50.63676226923684	0.7578723236234899	-0.40738313730612535	0.14297202317241758	-0.2273865436253574	0.05368523082253586	1	4																														22.894276999999995	47.36372299999999																		
0255_00940																		11.988513141420201	16.006027972852092	-0.33188818024526634	0.35740869402087494	5.203569546141085	10.333137493436794	0.6923076923076923	1.3199999999999998	234.294716496319	0	1	2.4499999999999997	8	9	19	0	35	0	0	2.1648000000000005	4.686359040000002	64.777	0	3	1	2	1	0	0	1	2	0	0	0	0.2110304492911351	92	474	27	35.02214057833802	2.0601259163728245	11.717672305251178	5.167305271857938	6.5503670333932424	5.247927513443585		49.410000000000004	1		0.5	0	0	0	0	8.457318144277703	12.5663513269523	0	4.941453945604406	0	0	0.25	0	0	0	0	0	0	0.4999999999999999	0	0	0	0	0	0	0	0	0	8	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.055401662049862	4.938271604938271	2.1717451523545708	0.6923076923076923	1097.04	0.8823529411764706	234	11.828062645816685	8.270856947829097	7.402381192219338	6.526101051098095	5.901662173056129	4.235519817742704	2.8156927827189544	1.8923850725854756	9.99791469510969	6.637264137825256	5.207801536453308	4.111252664532138	3.215488530782345	2.1327285765935047	1.0981254089103412	0.728159367580108	2.7593689182782346	5.204036023833769	7.116121907353657	1.1546770395867565	1.8073471362600668	2.083243248772239	1.00867955805779	0	0.3448818074731683	0	0.46171295552453534	0	0.10601460566232919	0	0	0	0.11785113019775793	0.2987977088559277	0.4435367140529206	0	0	0.08838834764831843	0.2044258451236579	0.16688798886649336	0	0	1	1	1	0	9	0	0	1164.4519701014403	1389.175026972962	1976.3431810305176	1871.380086187256	1546.4797406389162	19.26889867363485	20.495093620167356	30.183366735511118	30.654099305371517	29.815576115570302	0.34281702473250614	-0.2658972761123854	0.2492141586181768	-0.21171571831511585	0.061692442684977394	1	4																														24.233725999999994	38.686274000000004																		
0255_00959																		11.996186355543697	34.96985438000202	-0.41011599376601005	0.1323143109679858	6.258980288024489	11.449479030189531	0.3333333333333333	2.531	326.2214209719038	0	4	2.4499999999999997	13	10	22	0	38	0	0	2.431999999999999	5.914623999999995	91.5057	0	2	2	2	2	0	0	1	1	0	0	0	0.14824277357055649	108	897	30	41.47090335228923	1.9748049215375822	16.983721161566876	2.510251984563528	9.412823958666541	5.459431618637297		48.19	0.8		0.4444444444444444	1.5000000000000004	3.1430484499089344	3.5028275808835065	3	4.301377940831627	11.103130569342225	1.2761859464658525	3.879176139868348	1.6200872272889006	0	0	0	0	0	0	0	0.4999999999999999	1.4142135623730951	0	0	0	0	0	0	0	3	0	0	0	1	5	1	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.355371900826448	7.05078125	4.487534626038781	0.3333333333333333	1101.06	0.6190476190476191	318	15.62095586463014	9.786712265874595	9.75438189974393	7.197646224135385	5.260427090300151	3.7240801002527966	2.647558011046765	1.6007674941488599	13.598093104382581	7.241229075605307	6.687286639940689	3.612062200536738	2.2964966763320502	1.3892750161056584	0.8401813116316713	0.4362462779642263	4.343822550045997	5.485926328962995	7.530244649601212	2.0969476585877045	2.329547289713331	2.609405649208594	2.5264855622627223	0.2886751345948129	0.7539338936857122	0.16666666666666666	1.9988247399051255	0.2886751345948129	0.28411531550902314	0.06454972243679027	0	0	0.14433756729740646	0.15137471507731048	0.29123337345177097	0	0	0.0298142396999972	0.03896338106623301	0.0856566207643644	0	0	0	7	1	3	1	0	1	1546.7771923535458	1787.3609866592562	2474.329723886764	2366.414036097992	2198.086404205201	38.28030975506795	27.426523223187466	42.02213678047268	42.471592368689564	45.28154477611879	0.29980229348020143	-0.1581256785052777	0.0022067190138574735	0.006534762096518021	0.01009857162442745	1	4																														22.724519	46.197481																		
0255_00963																		11.998512057790085	34.97015648952865	-0.3754815775583683	0.14569566723729063	6.186696383956596	12.995568303313874	0.058823529411764705	0.651	331.1964857893148	0	3	2.7800000000000002	6	10	24	0	34	0	0	2.0906	4.370608359999999	97.2136	0	3	3	3	3	0	0	0	3	0	0	0	0.1361986381825348	116	942	38	44.79311362416868	2.036050619280395	13.723590176115524	2.6187498600474397	6.034429234926351	5.584962500721157		44.95	0.8		0.4444444444444444	0	0	0	0	14.005235112347425	18.031393240895863	4.184049153419134	3.539529195983115	3.2987697769322355	0	0	0	0	0	0	0	0.4999999999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.84375	7.26643598615917	3.440470801267542	0.058823529411764705	834.05	0.8636363636363636	333	15.57913950137325	10.62004559920793	9.525988955636029	8.290756867717842	6.785838219180382	5.468502597549595	3.3509227197244322	2.2491466042742077	12.960280585641126	7.366363519191478	5.667938548570511	4.085556958500768	2.807784800416181	1.9349359152268533	1.029135319214598	0.5735224384332893	4.194865058919996	7.24632646722944	11.254592059045052	1.760925703392827	2.4725082395919853	3.192793655579775	1.5271287046478372	0.09622504486493763	0.688258185085478	0.13550875493085693	0.821686202809462	0.02795084971874737	0.213764882173384	0.026702615117097032	0	0	0	0.2687287392826324	0.3010310363079829	0	0	0	0.07480056452854308	0.10039436109914274	0	0	2	10	3	0	0	1	0	1720.284190912552	2049.927958004181	2945.7745705045177	3230.1644634686268	2997.2950293183612	38.92032945379147	28.90036098873054	43.49570265678744	50.41613279270762	51.83913138026858	0.2932740295155373	-0.16054172296522676	0.10436235376544577	-0.1784127393047831	0.15762340986095472	1	3																														16.598484	45.28351599999999																		
0255_00964																		11.95292244714246	34.9688537002906	-0.43286303966601875	0.29962026861810004	5.262157687738606	12.462615400114611	0.21052631578947367	2.946	336.8187252603384	0	6	3	6	12	26	0	41	0	0	2.7935	7.803642249999999	104.52289999999999	0	3	3	3	3	0	0	1	2	0	0	0	0.153965538937886	122	1341	34	48.85184737416459	2.0354936405901913	14.404100794649432	0	11.884263656143082	5.700439718141093		51.75	0.8333333333333334		0.45454545454545453	0	0	0	0	25.428553144173584	12.841628606795	5.844073608049117	0.6850067105944414	1.1447142425533319	0	0	0	0	0	0.36514837167011066	0.25	0.4999999999999999	1.4142135623730951	0	0	0	0	0	0	0	0	0	3	0	0	11	0	0	1	0	3	0	1	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.781065088757398	9.08734693877551	5.019259259259259	0.2222222222222222	1297.05	0.875	456	16.830216356929817	11.71627526138944	10.070039083990778	8.531172824884381	6.696377475365827	5.129627951986222	3.2080644277300254	2.2046581944655363	13.894921105673046	8.132287811618003	6.215898383950286	4.444569842982433	2.9533875974018735	2.0697968938464597	1.163411249101747	0.6706187045150135	3.4179857127484987	5.3182678324592505	6.9844219846064295	1.6918858654739164	2.1593286500623967	2.4612669878466105	1.4510503895449387	0.10206207261596577	0.2165063509461097	0.051031036307982884	0.8985930534251144	0.0625	0.10059223176554563	0.020833333333333332	0	0	0.14433756729740646	0.2874574785652649	0.24432097104817807	0	0	0.0298142396999972	0.08093464380054619	0.07771732746177945	1	0	0	10	2	1	2	0	1	1664.643132553847	1927.6928815485774	2622.489306552289	2593.2317197707885	2406.8474586502075	33.1528711129547	29.308842539797254	40.45441154733136	39.23299674431973	36.97357027251902	0.3073785136172291	-0.14078672810643766	0.009310863179829963	-0.053734516128923396	0.027782346107682564	0	4																														22.964518999999996	51.355481																		
0255_00965																		11.952984398835387	18.999408832705868	-0.42316646310886197	0.49585041637483207	3.5262187499999995	10.09363920925216	0.08333333333333333	1.877	248.18549799362148	0	1	2.12	15	9	20	0	24	0	0	1.1624999999999999	1.3514062499999997	63.114700000000006	0	3	2	2	2	0	0	2	1	0	0	0	0.21883590641774706	100	555	27	36.805938029959336	2.044774334997741	16.57365266827891	6.11044432958292	5.508498834709213	5.321928094887363		54.28	1		0.5	0	0	0	0	4.878761561255453	12.28399381509815	1.324541672778822	5.6762400186093895	1.6708126548956719	0	0	0	0.4999999999999999	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	5	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.005	4.835555555555556	2.4	0.09090909090909091	370.06	0.7777777777777778	246	12.750712376627058	8.60528492895347	8.354240605201031	6.663069269920996	6.063776153466019	4.663694274562227	3.088352703812154	2.1649647433414843	8.906390468394267	5.066785325922477	3.6948216922451986	2.5846992899671464	1.86040689325716	1.1084179927503481	0.5929501554221382	0.33135424592291884	3.244014681095104	5.926095203375403	8.154898858970311	0.8626088428097879	1.2380960003797523	1.3207422567428975	1.9486884049837436	0.25	0.24719387459906544	0	0.44777821553982317	0.011904761904761904	0.06842618854950361	0	0	0	0.20118446353109126	0.4931208510193021	0.7892461777794977	0	0	0.0625	0.10391624486640275	0.11797217029838723	1	0	2	5	3	0	0	0	0	956.3034915667115	1156.4535840311282	1686.0905277927245	1510.2277628187262	1322.9496557777102	23.27298695172015	22.990483931121908	38.53175990909678	31.652328064485236	31.012308365761708	0.5879751326557263	-0.4761693545280329	0.2838733125416033	-0.08331551674975607	-0.001367951250270772	1	4																														14.117241999999997	30.038758																		
0255_00968																		11.996195886312027	34.96985429279089	-0.40668785368453897	0.13272940934370975	5.394146216787936	11.761880501612993	0.42857142857142855	2.353	314.21068507511575	0	6	2.34	6	10	21	0	37	0	0	2.5074999999999994	6.287556249999997	85.80860000000001	0	2	2	2	2	0	0	1	1	0	0	0	0.1539248434733332	100	790	28	39.77800063777981	1.9889000318889907	16.978175615144636	2.5729021822432934	9.346330541321128	5.392317422778761		48.19	0.8		0.4444444444444444	0	2.0970751645868453	0.48274469230281497	0.25	9.838563493774137	8.785382395312215	4.058798668853007	1.6509636244473134	1.5000000000000004	0	0	0	0	0	0	0	0.4999999999999999	1.4142135623730951	0	0	0	0	0	0	0	1	0	4	0	0	5	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.3718820861678	7.319857312722949	4.25	0.42857142857142855	1064.06	0.65	291	14.58757566981053	9.548660601927535	8.614191397825548	6.657856259416123	5.594137420263815	3.6084355972867654	2.5875615391058853	1.4872022661053765	12.771819690749519	7.308770975868824	5.696002915019358	3.8143485498259047	2.8017510120742073	1.6919235095010259	1.0827452116730454	0.5377901901935186	3.2296353401687394	5.729100654870103	7.4541218876099435	1.5553535387555812	2.443170351464784	2.8335821803397456	1.6489385281812878	0.14433756729740646	0.3089255650988789	0.05892556509887897	0.9013813778064921	0.05590169943749474	0.12897349740926883	0.01613743060919757	0	0	0.14433756729740646	0.17010345435994295	0.22113449066792581	0	0	0.0298142396999972	0.045138112284023604	0.0771235287010099	0	0	0	5	1	2	3	1	0	1411.4594558407744	1628.146377624298	2244.9353302891845	2224.085022983277	2115.2047653513796	37.28030975506795	26.426523223187466	39.188046824424816	39.97331845837657	51.33098355741165	0.3111237498082027	-0.15085603881917664	-0.0033183669942407202	-0.0134060821199208	0.018154934491413376	1	4																														22.724518999999997	44.437481																		
0255_00970																		11.998510468852196	34.969380413995836	-0.38733201968880004	0.13195357901905327	6.017462888327311	11.918930160024667	0.5555555555555556	2.937000000000001	333.8562763608643	0	5	2.8899999999999997	6	12	25	0	47	0	0	2.978800000000002	8.873249440000011	97.537	0	3	2	3	2	0	0	2	1	0	0	0	0.14464487241248386	122	1171	34	46.52155153156346	2.022676153546237	14.47021683687001	2.5925721242306308	9.356355248648288	5.643856189774724		48.19	0.8333333333333334		0.45454545454545453	0.4999999999999999	3.556692646784878	2.971004096610005	0.6666666666666667	11.564265269009356	15.444278563755429	3.479900909629069	2.9481593058194893	2.4417967096529347	0	0	0	0	0	0	0	0.4999999999999999	1.4142135623730951	0	0	0	0	0	0	0	2	0	4	0	0	6	3	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.8112	7.486111111111111	3.9837030330466274	0.5555555555555556	1895.05	0.782608695652174	424	16.449382989376332	10.987018995787604	10.346808836786428	8.367077852921252	6.9465776132005725	4.832882810558533	3.2794903896455834	2.322290398191176	14.447327348480341	8.65817983079557	7.476098377621061	5.509106599749559	4.223970966231429	2.8015822152042427	1.7950981366117382	1.1096533564912476	4.333697799160977	7.175167950725141	9.60028428297385	2.7963784957346776	4.231155107198917	5.186610960222558	1.9852115432154616	0.11785113019775793	0.5616593387557153	0.10703808753134778	1.358965970906448	0.05270462766947299	0.3754973944103718	0.04786888798033326	0	0	0.2276709006307398	0.4346923919128592	0.6332280623899805	0	0	0.11314757303333053	0.25209108110079026	0.397649211459117	0	0	0	5	1	3	3	4	0	1685.3078949221676	1990.0037926126643	2851.517208627761	2700.2302392230954	2486.2304024694554	32.56735984721917	28.47475258374937	42.284505545548626	40.450098517194846	37.99687367729809	0.28159740942591566	-0.1455319419542377	-0.012770247332919923	0.016868699997767553	0.002783175156867357	1	4																														29.956967999999996	53.96503199999998																		
