id	Wlambda1.unity	Wlambda2.unity	Wlambda3.unity	Wnu1.unity	Wnu2.unity	Wgamma1.unity	Wgamma2.unity	Wgamma3.unity	Weta1.unity	Weta2.unity	Weta3.unity	WT.unity	WA.unity	WV.unity	WK.unity	WG.unity	WD.unity	BCUTw.1l	BCUTw.1h	BCUTc.1l	BCUTc.1h	BCUTp.1l	BCUTp.1h	Fsp3	XLogP	MW	LipinskiFailures	nRotB	MLogP	nAtomP	nAtomLC	nB	nBase	nAtom	nAromBond	naAromAtom	ALogP	ALogp2	AMR	nAcid	nSmallRings	nAromRings	nRingBlocks	nAromBlocks	nRings3	nRings4	nRings5	nRings6	nRings7	nRings8	nRings9	tpsaEfficiency	Zagreb	WPATH	WPOL	WTPT.1	WTPT.2	WTPT.3	WTPT.4	WTPT.5	VAdjMat	VABC	TopoPSA	topoShape	geomShape	PetitjeanNumber	MDEC.11	MDEC.12	MDEC.13	MDEC.14	MDEC.22	MDEC.23	MDEC.24	MDEC.33	MDEC.34	MDEC.44	MDEO.11	MDEO.12	MDEO.22	MDEN.11	MDEN.12	MDEN.13	MDEN.22	MDEN.23	MDEN.33	khs.sLi	khs.ssBe	khs.ssssBe	khs.ssBH	khs.sssB	khs.ssssB	khs.sCH3	khs.dCH2	khs.ssCH2	khs.tCH	khs.dsCH	khs.aaCH	khs.sssCH	khs.ddC	khs.tsC	khs.dssC	khs.aasC	khs.aaaC	khs.ssssC	khs.sNH3	khs.sNH2	khs.ssNH2	khs.dNH	khs.ssNH	khs.aaNH	khs.tN	khs.sssNH	khs.dsN	khs.aaN	khs.sssN	khs.ddsN	khs.aasN	khs.ssssN	khs.sOH	khs.dO	khs.ssO	khs.aaO	khs.sF	khs.sSiH3	khs.ssSiH2	khs.sssSiH	khs.ssssSi	khs.sPH2	khs.ssPH	khs.sssP	khs.dsssP	khs.sssssP	khs.sSH	khs.dS	khs.ssS	khs.aaS	khs.dssS	khs.ddssS	khs.sCl	khs.sGeH3	khs.ssGeH2	khs.sssGeH	khs.ssssGe	khs.sAsH2	khs.ssAsH	khs.sssAs	khs.sssdAs	khs.sssssAs	khs.sSeH	khs.dSe	khs.ssSe	khs.aaSe	khs.dssSe	khs.ddssSe	khs.sBr	khs.sSnH3	khs.ssSnH2	khs.sssSnH	khs.ssssSn	khs.sI	khs.sPbH3	khs.ssPbH2	khs.sssPbH	khs.ssssPb	Kier1	Kier2	Kier3	HybRatio	fragC	FMF	ECCEN	SP.0	SP.1	SP.2	SP.3	SP.4	SP.5	SP.6	SP.7	VP.0	VP.1	VP.2	VP.3	VP.4	VP.5	VP.6	VP.7	SPC.4	SPC.5	SPC.6	VPC.4	VPC.5	VPC.6	SC.3	SC.4	SC.5	SC.6	VC.3	VC.4	VC.5	VC.6	SCH.3	SCH.4	SCH.5	SCH.6	SCH.7	VCH.3	VCH.4	VCH.5	VCH.6	VCH.7	C1SP1	C2SP1	C1SP2	C2SP2	C3SP2	C1SP3	C2SP3	C3SP3	C4SP3	ATSp1	ATSp2	ATSp3	ATSp4	ATSp5	ATSm1	ATSm2	ATSm3	ATSm4	ATSm5	ATSc1	ATSc2	ATSc3	ATSc4	ATSc5	nHBDon	nHBAcc	PPSA.1	PPSA.2	PPSA.3	PNSA.1	PNSA.2	PNSA.3	DPSA.1	DPSA.2	DPSA.3	FPSA.1	FPSA.2	FPSA.3	FNSA.1	FNSA.2	FNSA.3	WPSA.1	WPSA.2	WPSA.3	WNSA.1	WNSA.2	WNSA.3	RPCG	RNCG	RPCS	RNCS	THSA	TPSA	RHSA	RPSA	bpol	apol	MOMI.X	MOMI.Y	MOMI.Z	MOMI.XY	MOMI.XZ	MOMI.YZ	MOMI.R	LOBMAX	LOBMIN	GRAV.1	GRAV.2	GRAV.3	GRAVH.1	GRAVH.2	GRAVH.3	GRAV.4	GRAV.5	GRAV.6
0179_00001																		11.993832440781823	30.97376199540846	-0.3627764188551111	0.3128351462629973	2.590368164814461	5.321747186935855	1	-2.093	125.06367744392652	0	2	1.13	3	5	6	1	15	0	0	-2.1507	4.62551049	25.499200000000002	2	0	0	0	0	0	0	0	0	0	0	0	0.7467355526097411	28	46	4	12.448985386504598	1.778426483786371	12.511485386504596	6.982995128834865	2.373160171779821	3.584962500721156		93.36	1		0.5	0	0	0	0	1	0	0	0	0	0	1.5000000000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2.34375	6	1	154.05	0	38	5.914213562373095	3.0606601717798214	3.310660171779821	1	0.75	0	0	0	3.965395368240524	2.257125825703372	1.6217783384936066	0.6308953332546618	0.25238824794938697	0	0	0	0.75	1	0.25	0.1896513758703704	0.13689510412850078	0.015819299929208316	1.5606601717798212	0.35355339059327373	0	0	0.32300721031371443	0.03874921291460643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	119.85634706250006	114.69239612500006	115.32074129687504	65.85126662500005	36.935760421875024	15.333801208184378	15.050776271667546	13.064704594032351	7.003672108113516	4.660384791199848	0.2952116966057323	-0.14098250814869184	0.039147259941941154	-0.11344149864491929	0.06767089854880386	3	4																														16.523655999999995	15.990343999999999																		
0179_00002																		11.996249463207882	15.998704600695902	-0.42173037733598157	0.25889177145615644	3.7197436003409403	7.47059233197858	0.9	2.391	188.264388827104	0	9	2.23	2	12	12	0	33	0	0	2.4047000000000014	5.782582090000007	51.405899999999995	1	0	0	0	0	0	0	0	0	0	0	0	0.30578090468129676	48	354	10	24.661690747515344	1.8970531344242572	7.177518053138904	7.177518053138904	0	4.584962500721156		57.53	0.8333333333333334		0.45454545454545453	0	0	0	0	13.18512473533854	2.170156536901524	0	0	0	0	0.4814111366353723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	10.083333333333334	12	0.9	868.03	0	203	9.941311299868554	6.270055610029662	4.657395718865081	2.635027805014831	1.686469334244454	1.0675139025074154	0.6664579718255901	0.40875695125370776	8.16663651214271	5.097512099592023	3.3422190751262484	2.048756049796011	1.2719126005110866	0.7743780248980056	0.45917960495890636	0.2621890124490028	0.2886751345948129	0.20412414523193154	0.14433756729740646	0.04564354645876384	0.03227486121839514	0.02282177322938192	0.4082482904638631	0	0	0	0.06454972243679027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	8	0	0	521.3282177540065	508.1160919198779	490.3103452069546	428.24208032123397	376.0599221663019	15.323407106622838	12.996275931397694	13.77074496693864	10.996275931397694	9.996275931397694	0.2752577654909555	-0.12671403085152544	-0.005782180502598921	-0.00487696254858794	-2.458138220974091e-4	2	3																														22.822139999999997	33.341860000000004																		
0179_00003																		11.993656827642704	15.995917686361045	-0.34199775385247977	0.37549109416025317	3.800737964710446	7.392928754284228	0.75	-3.535	100.09610117228154	0	1	1.5699999999999998	2	4	7	1	13	0	0	-1.31	1.7161000000000002	20.975800000000003	1	1	0	1	0	1	0	0	0	0	0	0	0.6612364742539804	36	41	6	12.796776439715707	1.8281109199593868	7.016254915493176	4.674920595639192	2.3413343198539835	3.807354922057604		66.14999999999999	0.5		0.3333333333333333	0	0	0	0	1	0.9999999999999998	2	0	1	0	0.4999999999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.142857142857143	1.2396694214876034	0.7933884297520661	0.75	127.03	0.42857142857142855	35	5.49156383156272	3.150482454160612	3.3087307446244756	2.182521984712165	0.5773502691896258	0	0	0	3.399812122026584	1.949906061013292	1.7582013209705094	0.7419382669910982	0.10206207261596577	0	0	0	2.0907702751760278	1.1547005383792517	0.2886751345948129	0.27870193693872264	0.08838834764831845	0	1.0912609923560825	0.14433756729740646	0.5525858577612696	0.14433756729740646	0.473461712529338	0.07216878364870323	0	0	0.25	0.39433756729740643	0	0	0	0.25	0.26933756729740643	0	0	0	0	0	1	0	0	0	2	1	0	219.77093587500013	253.00780100000017	237.4995260625001	134.73837300000005	0	8.908918372358373	7.830365887445575	9.937198789347413	8.435291102663491	0	0.30991048306324526	-0.13045152513305067	-0.054248262929419255	0.029744546530847325	0	1	3																														7.815242	13.744758																		
0179_00004																		11.99623306346774	15.998705216443064	-0.3464997139287577	0.3134178044588725	4.240860797274024	9.41769829483384	0	1.8390000000000002	187.17189492415673	0	1	2.34	14	8	15	0	21	0	0	0.27149999999999963	0.0737122499999998	54.4797	2	2	2	1	1	0	0	0	2	0	0	0	0.32271254907803865	72	280	22	28.21266840022563	2.0151906000161164	7.4098128101220695	7.4098128101220695	0	4.906890595608519		60.36	0.75		0.42857142857142855	0	0	0	0	6.631975707865092	11.842286051158023	0	5.6762400186093895	0	0	0.944940787421155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.515555555555556	4.244897959183674	2.020408163265306	0	302.03	0.7142857142857143	157	10.129392033067415	6.698377302757663	6.052729888246292	5.0456592576033295	4.214333975453051	3.044435803260003	1.9735418271894425	1.2910886507678299	6.819563501101577	3.915764814694496	2.764411480986006	1.8900944484468212	1.2407981606824363	0.8479856124278412	0.4083469861262138	0.2105426235672282	2.4586846084569784	3.9585846234443816	5.093074525921645	0.5357514151113961	0.6272285063431379	0.6841739119877586	0.9646156167057838	0	0.3612589854956087	0	0.27331444708950364	0	0.03723241813360265	0	0	0	0	0.1388888888888889	0.27323607817372114	0	0	0	0.048611111111111105	0.06439932424927956	0	0	1	7	3	0	0	0	0	777.5141485502321	910.2948589792485	1258.3017995359503	1213.7107806494146	794.058251397705	16.323407106622838	15.99627593139769	23.1028369440712	24.656735817060508	20.873581911009843	0.32962165138697086	-0.12433083273678497	0.029219996948095395	-0.16840957682747368	0.10133646316086718	1	3																														9.568448999999998	26.433551																		
0179_00005																		11.99623294842967	15.999297207510757	-0.4085017721792305	0.1517479560139884	4.326097588722732	9.987896053827994	0.5454545454545454	-0.5960000000000001	281.2683419175123	0	2	1.68	10	11	22	0	35	0	0	-2.5697	6.60335809	67.8807	0	3	2	2	1	0	0	2	1	0	0	0	0.4445552675236472	110	761	35	40.59069269686501	2.029534634843251	26.161627500399995	10.636584167574805	15.525043332825181	5.459431618637297		124.97000000000001	1		0.5	0	0.6694329500821695	1.4388202423155703	0	0.5777570356662537	6.586065652550434	0	8.25020561791714	0	0	0.7663094323935531	1.0000000000000002	0	0	0.5773502691896258	0.7071067811865476	0.33333333333333337	1.8072040072196898	0.25	0	0	0	0	0	0	1	0	1	0	0	2	4	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.917355371900827	5.652892561983471	2.390625	0.5454545454545454	989.09	0.7	326	14.438793109825921	9.540912557858759	8.76878334009044	8.35897296904346	6.58457624271313	4.912584075917078	3.624590871438158	2.5093347095461906	10.709951855287875	6.094913592001735	4.756991441950544	3.4891572657764836	2.31162076742281	1.4046175752399477	0.8214215290996648	0.4596783748297791	4.611741356634082	7.187825535589128	9.809537760966906	1.4807614571912402	1.8495778741752535	2.0038204172988126	1.5240502502036257	0	0.6672204263943471	0	0.6946541429732933	0	0.15297098299430603	0	0	0	0.17479246499677625	0.49275936539252807	0.9265091882604424	0	0	0.07422843462213273	0.15137720151350367	0.20080373183721123	0	0	2	1	0	2	3	0	0	1223.0017995417425	1485.9383409148675	2207.8165517852335	2105.5586421902794	1729.2256113279668	24.89777764854619	25.488461150647723	38.81339215149617	43.884195637201024	35.67062012562874	0.7927413726239275	-0.38273409892796173	-0.06112899303201031	0.006002211580909252	0.07739260684602334	4	9																														24.914105000000003	38.06989499999999																		
0179_00006																		11.993511702959225	15.995921210637375	-0.34640802487808453	0.2762861106208434	4.046579748564851	8.37057680114076	0.42857142857142855	-2.811	169.1814190458465	0	3	1.68	5	8	12	1	23	0	0	-1.9208999999999996	3.6898568099999984	44.34040000000002	1	1	1	1	1	0	0	1	0	0	0	0	0.46674714417288216	56	211	12	23.133633348255835	1.9278027790213195	13.403351443206216	4.749273807096124	8.654077636110092	4.584962500721156		78.92	0.75		0.42857142857142855	0	1.1905507889761497	0.6694329500821695	0	1.3103706971044482	4.196420878394961	0	1.6509636244473134	0	0	0.4999999999999999	0	0	0	0.25	0.19999999999999996	0	0.4999999999999999	0	0	0	0	0	0	0	1	0	1	0	0	2	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.083333333333334	4.296875	3.114186851211073	0.42857142857142855	397.05	0.4166666666666667	130	9.137828201504695	5.5922241528750165	5.24125272933664	3.646606042027291	2.3369830364861177	1.4751011574348107	0.7778910852482664	0.5273516436051779	6.766396934908789	3.5456332890534275	2.6793302802082373	1.5046004367249795	0.8849878595734482	0.46435341147484366	0.21083103780752002	0.10035570295839988	1.9273535175993557	1.7772212582015732	1.9288995378043008	0.5148758961003184	0.5044362162240148	0.40692671248337886	1.0618348735555936	0	0.23570226039551587	0	0.4109140492847446	0	0.02151657414559676	0	0	0	0.11785113019775793	0.20118446353109126	0.13144585576580214	0	0	0.03333333333333333	0.05690355937288492	0.037178502388347016	0	0	2	1	0	0	2	0	0	542.3703006950076	594.4832671324466	751.5368943375859	532.8432032050782	401.2139391518555	14.628878974911334	13.6612755533478	18.629542956984782	14.43583488112014	10.522710055082946	0.3898052208090605	-0.1889829281948778	0.0011825001887207955	-0.019196622068457778	-0.06634625004894013	2	5																														15.623276999999998	24.558723																		
0179_00007																		11.993731760454965	15.995918190731995	-0.36030186169888456	0.2771572966253849	3.8161196506353865	7.158253661446543	0.6666666666666666	-4.023	104.10794999018113	0	2	1.35	2	5	6	2	15	0	0	-1.7784000000000002	3.1627065600000006	23.7736	1	0	0	0	0	0	0	0	0	0	0	0	0.8585548841323215	26	46	6	12.505242858682477	1.7864632655260682	9.460911804730662	4.696735558102679	4.764176246627981	3.584962500721156		89.33999999999999	1		0.5	0	0	0	0	0	1.4142135623730951	0	1	0	0	0.4999999999999999	0	0	0.33333333333333337	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3.061224489795918	2.6666666666666665	0.6666666666666666	154.04	0	36	5.8618073195657985	3.1807392125526213	2.6295491105128677	1.7820217383170773	0.47140452079103173	0	0	0	3.7946194747192457	1.8662359918377829	1.180433000678496	0.5711313009305434	0.10081715010194181	0	0	0	1.2761423749153968	0.7071067811865476	0.23570226039551587	0.2365553624434247	0.07972338289588377	0.012422599874998832	0.5690355937288492	0	0.23570226039551587	0	0.17055575786723093	0	0.02151657414559676	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	208.13388084765634	201.56249119531256	208.47126820312502	146.22886803906255	38.75827515625002	9.268898673634853	6.99654782062602	8.937198789347413	8.297269382855287	3.1069231941332323	0.2827221991212457	-0.08117654148412115	-0.07976730070616561	-0.033344288034224234	0.05292703066388811	3	4																														8.383656	14.418344																		
0179_00008																		11.996320019092286	15.999284964244683	-0.3568598506433459	0.31348218380912307	4.106367449506582	8.153257142686504	0	0.7769999999999999	153.11247475692255	0	1	1.79	11	6	11	0	16	0	0	-0.8360000000000003	0.6988960000000005	37.8882	2	1	1	1	1	0	0	0	1	0	0	0	0.526667367638561	52	146	15	21.23439683154887	1.9303997119589882	9.831795471125357	9.831795471125357	0	4.459431618637298		80.59	0.6666666666666666		0.4	0	0	0	0	2.381101577952299	5.553157574048103	0	3.965406456500188	0	0	1.6397691447073577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.090909090909092	3.6	1.9753086419753085	0	146.04	0.5454545454545454	87	8.430721420318147	5.12589765768623	4.675175846749352	3.6261427969805924	2.5637541636973196	1.596682986103022	0.6659682034507899	0.40054269556152805	5.0347262890326565	2.645354676588182	1.7548515331124812	1.0101329789959164	0.5815481991522868	0.32531577348223384	0.09473245964815402	0.029782519138314506	2.1253715239530626	2.838117240603056	3.4939731732615993	0.2582054501663629	0.24992063210524484	0.21977839420591574	0.8975684469466788	0	0.3507329471077473	0	0.18236205254425736	0	0.013176156917368247	0	0	0	0	0.06804138174397717	0.17536647355387364	0	0	0	0.024056261216234408	0.022786417680915584	0	0	1	5	1	0	0	0	0	444.421227857422	497.76454918164075	644.3288126259765	568.102980123047	303.2652636894532	14.097876142163784	12.328367908530256	17.76702089833633	18.763296829734024	13.873581911009843	0.40294963877921536	-0.12338398080121524	-0.02790794999848164	-0.10444585807619441	-0.008379560892440477	2	4																														7.382035	18.861964999999998																		
0179_00009																		11.996291878041601	15.998703370284673	-0.38559684433318975	0.16215970077529757	4.509351054241396	8.584693835424961	0.125	0.8780000000000001	152.14762798761853	0	1	2.01	10	7	11	0	19	0	0	-0.1723000000000004	0.029687290000000137	43.7171	0	1	1	1	1	0	0	0	1	0	0	0	0.37836898967398985	52	150	14	21.233989686731533	1.9303626987937756	7.433392508743272	7.433392508743272	0	4.459431618637298		57.53	1		0.5	0	0.8254818122236568	1.7091480255849363	0	1.6509636244473134	6.83080311045136	0	3.1473451902649443	0	0	0.6551853485522243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.090909090909092	3.6	2.2145328719723185	0.125	251.03	0.5454545454545454	95	8.430721420318147	5.109060905280622	4.803379675677592	3.3541597113031907	2.6792050538373253	1.462748887546295	1.0437367965653028	0.19641855032959651	6.034726289032657	3.1393716124444753	2.257638220533255	1.3606099135311374	0.8177434624116319	0.4109095610534938	0.18760510424831325	0.039256332269113424	1.8384737358603032	2.7233536664906355	2.7709658650145883	0.5093148321347097	0.5466074107029479	0.44486156225958545	0.9937934918116165	0	0.23230780835289197	0	0.3133161779514523	0	0.04809668236193773	0	0	0	0	0.06804138174397717	0.17536647355387364	0	0	0	0.024056261216234408	0.03354470475371396	0	0	0	6	1	1	0	0	0	497.4761979460451	551.8604582475588	714.4908603762211	615.2283764785158	351.1276954638673	13.323407106622838	11.996275931397694	16.992551862795384	16.324643839927948	13.209397956744715	0.23923133419057435	-0.05054882020485868	-0.022460537116618568	-0.09126299348280825	0.06568990177100723	2	3																														9.703655999999997	21.820343999999995																		
0179_00010																		11.994543321282249	15.99592171131104	-0.272711576373994	0.28457351554088667	4.3275713852993585	8.461147317834637	0	-2.1960000000000006	164.12180107931394	0	0	1.46	12	7	13	0	16	0	0	-1.6034999999999997	2.571212249999999	38.087799999999994	0	2	2	1	1	0	0	0	2	0	0	0	0.5055067270454013	62	179	17	24.351951078207847	2.0293292565173204	17.251479136086804	5.082027340596044	12.169451795490756	4.700439718141093		82.92	1		0.5	0	0	0	0	1	2.5764740294461417	0	3.5327755290014426	0	0	0.25	0	0	0	0	0	2.1822472719434427	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.591715976331361	3.3950617283950617	1.7013232514177694	0	157.06	0.8333333333333334	117	8.552041763877789	5.770856947829097	5.2622514367892075	4.178045384447504	3.700641387202551	2.740212000630143	1.6711239468359336	0.892575148574292	5.8656243103068935	3.2051929987914765	2.1618031727109543	1.3723112443544883	0.8967670020769849	0.5374899933159674	0.22482305924217533	0.09431726220544324	1.7213008200490043	3.00488289665562	4.000853184480312	0.37405874038650944	0.4708088267167781	0.4731141116116207	0.8271268251449497	0	0.1642664266089148	0	0.21386547149095525	0	0.02391088661469096	0	0	0	0	0.1388888888888889	0.29671661877429745	0	0	0	0.03229166666666666	0.04339985060303607	0	0	4	1	0	0	0	0	0	556.3681446389162	645.802936833496	878.9895454458012	780.0740885019533	455.1176901791993	14.988859276187815	14.993639419708693	21.87571090314849	20.79268007532854	15.95756388182374	0.5241313242061523	-0.2953232897495528	0.051518458280475195	-0.1485025732969136	0.1352943391852561	2	6																														10.248828	19.231171999999997																		
