id	bits.on
0056_00031	4,7,20,37,89,94,95,134,141,148,149,151,177,188,195,197,204,220,247,268,295,300,304,347,383,414,431,461,469,481,493,508,510,515,533,549,550,551,557,562,626,677,685,705,709,712,719,727,778,779,799,825,850,865,931,936,939,948,950,968,974
0056_00032	13,20,59,86,94,95,134,141,146,148,177,188,226,236,268,304,347,353,437,469,508,510,515,550,551,563,609,626,640,705,712,727,735,746,825,850,858,860,931,968,972,999,1021
0056_00035	7,12,20,21,37,89,91,94,102,134,145,149,153,175,195,197,204,220,226,247,270,281,300,305,347,353,457,461,480,481,493,508,511,515,530,533,550,557,562,568,626,640,677,705,706,711,719,727,752,779,786,799,858,865,936,968,974,1012
0056_00045	3,15,17,40,73,89,129,134,182,214,226,228,231,259,288,337,353,369,371,381,394,413,415,444,461,476,494,503,511,515,534,540,550,552,564,588,594,626,640,676,750,759,888,904,936,947,951,968,1019
0056_00046	4,7,12,20,21,37,78,89,91,94,134,149,151,153,195,197,204,220,247,270,281,300,305,347,360,414,431,457,461,480,481,493,508,515,522,530,533,549,550,557,562,626,677,685,705,706,709,711,719,727,752,778,779,786,799,865,916,936,948,968,974
0056_00047	20,21,94,134,141,148,177,188,226,268,304,353,369,371,381,430,469,476,508,510,515,550,551,598,626,640,712,727,735,825,850,968
0056_00056	4,20,53,59,86,94,95,134,141,146,148,151,177,188,236,268,304,347,371,383,385,399,469,508,510,515,549,550,551,609,626,705,709,712,727,746,778,825,850,931,939,948,968,972
0056_00059	4,7,20,37,89,94,95,123,134,141,148,149,177,188,195,197,204,220,247,268,300,304,347,383,460,461,469,481,493,503,508,510,515,533,549,550,551,557,562,626,677,705,709,712,719,727,738,773,778,779,796,799,825,850,865,931,936,948,968,974
0056_00061	4,7,12,20,21,37,89,91,94,134,149,153,195,197,204,220,247,255,270,274,281,300,305,347,457,460,461,480,481,493,503,508,515,522,530,533,549,550,557,562,626,677,705,706,709,711,719,727,738,752,778,779,786,799,830,865,936,948,968,974
0056_00062	15,17,39,40,73,89,129,134,182,226,228,231,252,331,337,353,365,367,369,381,415,444,461,465,476,503,511,515,534,540,550,552,564,594,626,640,667,676,719,726,728,750,759,888,936,947,951,968,1019
0056_00064	4,20,59,86,94,95,104,134,141,146,148,177,188,236,268,304,320,347,383,469,508,510,515,549,550,551,609,626,705,709,712,727,738,746,774,778,796,825,850,888,931,948,959,968,972
0056_00066	20,72,94,134,141,177,188,261,304,469,508,510,550,551,620,626,640,676,712,720,727,733,741,763,825,850,947,968
0056_00067	4,20,94,95,134,141,148,177,188,201,226,268,304,347,353,362,469,508,510,515,549,550,551,626,640,666,705,712,727,735,778,825,850,858,931,948,968,990,999
0056_00071	4,20,21,94,134,141,148,151,177,188,197,268,303,304,347,353,371,383,469,508,510,515,549,550,551,618,626,640,650,705,709,712,727,778,825,850,948,968
0056_00078	15,17,57,73,89,129,134,145,226,228,231,245,332,334,353,369,381,444,461,476,490,491,503,508,515,529,533,534,550,573,594,596,607,626,640,661,668,676,683,702,735,750,759,831,888,936,947,951,968,997
0056_00088	20,94,96,134,141,145,177,188,304,421,469,487,491,508,510,550,551,626,720,727,741,825,829,850,911,968,1010
