id	Wlambda1.unity	Wlambda2.unity	Wlambda3.unity	Wnu1.unity	Wnu2.unity	Wgamma1.unity	Wgamma2.unity	Wgamma3.unity	Weta1.unity	Weta2.unity	Weta3.unity	WT.unity	WA.unity	WV.unity	WK.unity	WG.unity	WD.unity	BCUTw.1l	BCUTw.1h	BCUTc.1l	BCUTc.1h	BCUTp.1l	BCUTp.1h	Fsp3	XLogP	MW	LipinskiFailures	nRotB	MLogP	nAtomP	nAtomLC	nB	nBase	nAtom	nAromBond	naAromAtom	ALogP	ALogp2	AMR	nAcid	nSmallRings	nAromRings	nRingBlocks	nAromBlocks	nRings3	nRings4	nRings5	nRings6	nRings7	nRings8	nRings9	tpsaEfficiency	Zagreb	WPATH	WPOL	WTPT.1	WTPT.2	WTPT.3	WTPT.4	WTPT.5	VAdjMat	VABC	TopoPSA	topoShape	geomShape	PetitjeanNumber	MDEC.11	MDEC.12	MDEC.13	MDEC.14	MDEC.22	MDEC.23	MDEC.24	MDEC.33	MDEC.34	MDEC.44	MDEO.11	MDEO.12	MDEO.22	MDEN.11	MDEN.12	MDEN.13	MDEN.22	MDEN.23	MDEN.33	khs.sLi	khs.ssBe	khs.ssssBe	khs.ssBH	khs.sssB	khs.ssssB	khs.sCH3	khs.dCH2	khs.ssCH2	khs.tCH	khs.dsCH	khs.aaCH	khs.sssCH	khs.ddC	khs.tsC	khs.dssC	khs.aasC	khs.aaaC	khs.ssssC	khs.sNH3	khs.sNH2	khs.ssNH2	khs.dNH	khs.ssNH	khs.aaNH	khs.tN	khs.sssNH	khs.dsN	khs.aaN	khs.sssN	khs.ddsN	khs.aasN	khs.ssssN	khs.sOH	khs.dO	khs.ssO	khs.aaO	khs.sF	khs.sSiH3	khs.ssSiH2	khs.sssSiH	khs.ssssSi	khs.sPH2	khs.ssPH	khs.sssP	khs.dsssP	khs.sssssP	khs.sSH	khs.dS	khs.ssS	khs.aaS	khs.dssS	khs.ddssS	khs.sCl	khs.sGeH3	khs.ssGeH2	khs.sssGeH	khs.ssssGe	khs.sAsH2	khs.ssAsH	khs.sssAs	khs.sssdAs	khs.sssssAs	khs.sSeH	khs.dSe	khs.ssSe	khs.aaSe	khs.dssSe	khs.ddssSe	khs.sBr	khs.sSnH3	khs.ssSnH2	khs.sssSnH	khs.ssssSn	khs.sI	khs.sPbH3	khs.ssPbH2	khs.sssPbH	khs.ssssPb	Kier1	Kier2	Kier3	HybRatio	fragC	FMF	ECCEN	SP.0	SP.1	SP.2	SP.3	SP.4	SP.5	SP.6	SP.7	VP.0	VP.1	VP.2	VP.3	VP.4	VP.5	VP.6	VP.7	SPC.4	SPC.5	SPC.6	VPC.4	VPC.5	VPC.6	SC.3	SC.4	SC.5	SC.6	VC.3	VC.4	VC.5	VC.6	SCH.3	SCH.4	SCH.5	SCH.6	SCH.7	VCH.3	VCH.4	VCH.5	VCH.6	VCH.7	C1SP1	C2SP1	C1SP2	C2SP2	C3SP2	C1SP3	C2SP3	C3SP3	C4SP3	ATSp1	ATSp2	ATSp3	ATSp4	ATSp5	ATSm1	ATSm2	ATSm3	ATSm4	ATSm5	ATSc1	ATSc2	ATSc3	ATSc4	ATSc5	nHBDon	nHBAcc	PPSA.1	PPSA.2	PPSA.3	PNSA.1	PNSA.2	PNSA.3	DPSA.1	DPSA.2	DPSA.3	FPSA.1	FPSA.2	FPSA.3	FNSA.1	FNSA.2	FNSA.3	WPSA.1	WPSA.2	WPSA.3	WNSA.1	WNSA.2	WNSA.3	RPCG	RNCG	RPCS	RNCS	THSA	TPSA	RHSA	RPSA	bpol	apol	MOMI.X	MOMI.Y	MOMI.Z	MOMI.XY	MOMI.XZ	MOMI.YZ	MOMI.R	LOBMAX	LOBMIN	GRAV.1	GRAV.2	GRAV.3	GRAVH.1	GRAVH.2	GRAVH.3	GRAV.4	GRAV.5	GRAV.6
0055_00003																		11.996400498691923	15.998701527371223	-0.404136725968514	0.28808790873131196	3.8393693039204755	7.446633416235649	0.8	0.064	118.13130180490612	0	2	1.6799999999999997	2	5	7	0	18	0	0	0.5320000000000003	0.2830240000000003	27.910300000000003	1	0	0	0	0	0	0	0	0	0	0	0	0.4872822374240875	32	65	8	14.33508904100425	1.7918861301255313	7.111632707789776	7.111632707789776	0	3.807354922057604		57.53	1		0.5	0.4999999999999999	0	3.3019272488946267	0	0	0	0	2.381101577952299	0	0	1.1447142425533319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3.111111111111111	2.8125	0.8	233.03	0	43	6.732050807568877	3.5534180126147956	3.3471506281091274	2.1031336922528343	0.769800358919501	0	0	0	4.957376019843031	2.4626388390364693	2.027091913885392	0.884492365915711	0.2851539619879403	0	0	0	1.8213672050459184	1.5396007178390023	0.9622504486493764	0.5825706849845419	0.33095977155067374	0.12140794797594268	0.8591167563965418	0	0.3849001794597505	0	0.4605735602527993	0	0.08814387559878842	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	1	0	261.6224990703126	262.3564901406251	295.79831719140634	218.81913707812504	91.33244487500002	10.323407106622838	7.996275931397696	11.102836944071203	10.877305979612151	5.32836790853026	0.3031415287793951	-0.09598778555841306	-0.12346688921002574	0.07056223952839989	-0.002678329149658659	2	3																														11.890069999999998	17.873929999999994																		
0055_00011																		11.996268719575424	15.998706453000823	-0.41531001978787474	0.22367565628580155	4.939922898374117	9.246378496527786	0.7777777777777778	-0.1929999999999999	198.21941482143325	0	1	1.9000000000000001	3	7	15	0	28	0	0	-0.8912	0.79423744	48.3952	0	2	0	1	0	0	0	1	1	0	0	0	0.35153884135379004	74	270	22	27.950818545675816	1.9964870389768439	13.989322609409122	7.537031980262446	6.452290629146675	4.906890595608519		69.64	0.5		0.3333333333333333	0	0.5313292845913056	1.9192597481868876	0	2.381101577952299	5.286499268654463	0	5.085675264759766	0	0	0.646330407009565	0	0	0	0	0	0	0.33333333333333337	0	0	0	0	0	0	0	1	0	3	0	0	0	3	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.515555555555556	3.8677685950413223	1.76	0.7777777777777778	659.05	0.6428571428571429	142	10.292528739883947	6.609060905280623	6.238587328186681	5.206707742723302	4.392256033299524	3.1064114648653995	1.8703291908624813	1.1380859120051885	8.064294923056163	4.899437930496264	3.916520940204311	2.8847458514118887	2.1198558744304683	1.2497032713161775	0.7536328857856991	0.427055114157807	2.91574843538975	4.680693405765068	6.565804050581458	1.1315150914430294	1.5584290359997974	1.7330981342995346	1.1697339739225874	0	0.4449982041721247	0	0.5266089104367266	0	0.12490765028774126	0	0	0	0.11785113019775793	0.18144368465060579	0.4438237183314693	0	0	0.09128709291752768	0.10992099273002592	0.16158877631228633	0	0	2	0	0	2	5	0	0	801.3159295156253	951.1564454150395	1359.0705318388673	1226.2401097636725	910.6776279042971	17.043367709175797	16.82718559729992	25.598564634926614	26.511462754813046	23.81530422634198	0.47707611366894465	-0.2090976085518753	-0.05503236279415695	0.08080182612969185	-0.1424235447358397	2	5																														19.860898	29.781102																		
0055_00014																		11.996218910917595	16.002548347085625	-0.407003066159136	0.2910376602799703	4.113554651389546	8.655193538968263	0.4166666666666667	-0.49499999999999994	286.2352407355721	0	3	1.9000000000000004	8	11	21	0	34	0	0	-1.6048000000000007	2.575383040000002	66.80940000000001	1	2	1	2	1	0	0	0	2	0	0	0	0.47778704891906587	102	815	32	39.69417967694838	1.984708983847419	21.151778768442203	21.151778768442203	0	5.392317422778761		136.68	1		0.5	0	0	0	0	3.3019272488946267	8.535160811850538	0	9.735394939959647	0	0	2.8263292952875485	2.996557069408018	0.4999999999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.3718820861678	6.84	3.814404432132964	0.4166666666666667	845.08	0.65	327	14.861442840636293	9.396754605515326	8.842603649429932	7.280336415083599	5.260052347753856	4.196088407593916	2.649778713162536	1.6442794207605385	10.156965271598015	5.780541009365918	4.346841304200022	2.901941216668485	1.8081988005924734	1.1759449589461344	0.5656287054318512	0.27634483130215015	3.9972560423097634	5.506086599982877	7.962020733320584	1.0410033726046408	1.1717464669410487	1.3289797889982056	1.7062323125043248	0	0.5330974507069528	0	0.577077435710137	0	0.08877963630633212	0	0	0	0	0.12869425449598476	0.336605816919092	0	0	0	0.053966917821723984	0.08268549028560984	0	0	1	6	0	1	4	0	0	973.3728512145799	1130.4620882079455	1556.3103882173775	1559.3344272870258	1220.0500335421013	26.19575228432757	24.320919771325638	36.86240970520291	42.40266290577508	34.521632857560625	0.887144964254257	-0.2678282814978395	-0.27676834511836146	0.11753287655174834	-0.22374799194924053	5	8																														20.094898	36.87110199999999																		
0055_00016																		11.99617784291956	16.002560186955073	-0.4069969084600166	0.29110232260947716	4.106096589111743	9.685054873249447	0.375	-0.3439999999999997	351.3087097912375	0	5	2.2299999999999995	9	13	27	0	42	0	0	-1.8087	3.27139569	84.84580000000003	1	3	2	2	1	0	0	1	2	0	0	0	0.41455966982685377	132	1559	41	50.42812026254037	2.0171248105016146	24.209908506785425	21.102043817181343	3.1078646896040865	5.754887502163469		145.55	1		0.5	0	0	0	0	6.0465213964324045	12.803438400727476	0	13.222070095369281	0	0	3.2177371762009135	3.3887333078845274	0.4999999999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	5	0	0	2	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.753086419753085	8.347140039447732	4.295857988165681	0.375	1336.09	0.72	512	18.13746372257519	11.87991785310972	11.103401208520156	9.400680338892844	7.547191573959522	5.687363135433826	3.7820284051990107	2.5614639172199185	12.902457016938094	7.55149847136775	5.761222641685628	4.070291217340456	2.753963160373929	1.7333677496181863	0.9120402946086026	0.49004200731366065	4.874870830294954	7.515500360539467	10.313509760534332	1.4857879132254375	1.873369649815142	2.0029475647320782	1.9715242640936808	0	0.6691802141949071	0	0.7398256597284182	0	0.13907575218910492	0	0	0	0.09622504486493763	0.33281839972791627	0.5812313282464909	0	0	0.036084391824351615	0.12114910264238209	0.16500537134851273	0	0	3	5	2	1	5	0	0	1381.4562966544884	1633.5767308601328	2303.9049616626917	2219.675408579457	1809.5903549071943	31.555732585604048	30.653283637686528	46.471240586020066	51.56911672818385	46.292649713727585	1.0023097712118747	-0.35319249363473637	-0.19964065600968792	0.07888497847688473	-0.18164489484038415	5	9																														24.992519	47.01148099999998																		
0055_00017																		11.993653620885995	16.000973826869807	-0.39298857254383956	0.13504370418637987	4.8658468519422895	13.003338913261146	0.7	3.187	314.4193923179386	0	1	3.33	7	11	27	0	49	0	0	1.5271000000000023	2.332034410000007	91.5906	0	6	1	1	1	0	0	2	3	1	0	0	0.1581536187755729	144	999	50	48.36858980672457	2.102982165509764	8.096818462042325	8.096818462042325	0	5.754887502163469		49.69	1		0.5	0	2.9919543331048004	1.6708126548956719	1.2164403991146802	15.112274478950297	18.668418807451	12.34995465930307	3.564033859430106	5.739081470321986	1.1905507889761497	0.33333333333333337	0.21081851067789192	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	2	2	3	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.270233196159122	4.791111111111111	1.8483511867254778	0.7	2303.03	0.8260869565217391	399	15.872032720186704	11.007532363039152	11.122216309159255	10.629939948839725	9.4993826445075	7.882913289212504	6.324216248420057	4.9593516103108195	13.793874834096997	9.106488827641257	8.862635073795477	8.016765998871264	7.055476896465576	5.6521537924683365	4.319941516793025	3.1265537077687116	7.073107424009871	12.973862810851529	20.250160263641632	5.150186672225856	9.312970705907178	14.053459489587354	2.7721415425441647	0.36425077011113016	0.9177881949050577	0.1980323645721903	2.1354502050227957	0.2628368399176937	0.6693972652120719	0.13640063478672393	0	0	0.19001991384646116	0.5670080285146435	1.2578538647263362	0	0	0.10618947452069182	0.3909668398567098	0.8712865116128213	0	0	1	4	1	2	6	4	2	2126.8024354096406	2732.201623515014	4515.894681955733	4787.505859552448	3823.819958847253	25.323407106622838	28.328367908530254	47.324643839927944	53.09911287546889	45.65673581706051	0.2898977899741312	-0.09891147827562442	-0.07873944611230149	0.04593933513269516	-0.00371229791013602	2	3																														30.339381999999993	54.942617999999975																		
0055_00020																		11.993511897447684	15.995919193255036	-0.37210800196837396	0.3713312804338426	4.21186274615555	9.514808388303623	0.8571428571428571	-0.6180000000000001	143.18389413942606	0	1	1.9	2	5	10	2	23	0	0	-1.5533000000000001	2.4127408900000002	33.9542	1	1	0	1	0	0	0	1	0	0	0	0	0.2804437898735284	50	108	12	19.089998587988447	1.9089998587988446	8.182970460858986	4.7999998475824635	3.3829706132765245	4.321928094887363		40.129999999999995	1		0.5	0.4999999999999999	2.2894284851066637	1.6329931618554518	0	2.381101577952299	2.94168275343288	0	1	0	0	0.4999999999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.1	2.56	1.5501730103806228	0.8571428571428571	439.03	0.5	65	7.776020881938894	4.538510687364535	4.731319728946598	3.1447508172067735	2.589425612194522	0.9284683477238036	0.3535533905932738	0.23570226039551587	6.314025684399679	4.223509423127566	4.622834967746881	3.2145437230292426	2.1185780690472513	0.8050211698203656	0.2032631323962854	0.05892556509887897	2.47428345600362	4.0774498301588675	3.528077316046199	2.5032492308681813	2.8998589752497956	1.846605612871894	1.501661279183041	0.20412414523193154	0.4023689270621825	0.08333333333333333	1.6299361269508954	0.2886751345948129	0.348461712529338	0.10206207261596577	0	0	0.10206207261596577	0.2630497103308105	0.3377643330114816	0	0	0.14433756729740646	0.36084391824351614	0.3181379171442524	0	0	1	0	0	1	3	0	0	513.8951362187504	584.7097866875006	817.1490526406257	532.7627731250003	243.08990956250014	11.908918372358372	11.328911686986908	16.93719878934741	13.771107148398361	10.656735817060518	0.3913458147807012	-0.2308851847488123	-0.07872889970273891	0.22726265325984238	-0.11332147619864176	0	2																														18.767690999999996	23.692309																		
0055_00021																		11.890000000000006	15.99592420104715	-0.3922982593410004	0.15554808027849276	4.8092202662082855	12.44494184204208	0.8421052631578947	3.6349999999999993	288.4251330012329	0	0	3.3299999999999996	4	11	24	0	49	0	0	3.3332999999999986	11.110888889999991	84.50450000000001	0	4	0	1	0	0	0	1	3	0	0	0	0.12942000080777788	126	802	44	43.51499299219739	2.072142523437971	5.084655603010415	5.084655603010415	0	5.584962500721157		37.3	1		0.5	0.16666666666666669	4.763321281219133	3.4982700604631765	1.788854381999832	10.5026299094428	19.49026564955579	6.724576475773662	5.026097724552823	5.282134177669156	0.25	0.09999999999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8	0	1	0	4	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.583333333333334	4.746877054569362	1.9262782401902496	0.8421052631578947	2284.02	0.8095238095238095	349	14.828062645816686	9.949160848322622	10.059373767772211	9.402028010576409	7.735217595526254	6.534457300059041	4.87597344222031	3.672263177142142	13.399067481404334	8.869572098848373	8.606513437206925	7.91197754893812	6.531778952076966	5.173504319760614	3.8099398783217615	2.7699917855969987	6.453699432281782	10.47664048354233	15.902404936425595	5.180983544035267	8.532492255718884	12.27332387005843	2.394454045664196	0.23570226039551587	1.085042521761172	0.2384839432971499	1.9685340905205253	0.2199132028137237	0.8069210126191044	0.16871365539079863	0	0	0.08333333333333333	0.42885536416183107	0.9743741383175339	0	0	0.08333333333333333	0.35350280141316476	0.7435179332799677	0	0	0	2	1	2	9	3	2	1895.813071738256	2378.5273644041936	3787.6022446957027	3992.700052295886	3018.480519189012	22.548938071081892	24.664183954265127	40.328367908530254	45.99255186279538	35.328367908530254	0.19921436572875018	-0.05913510526492786	-0.041575690831967584	0.012380235569514213	-0.004949776486458388	1	2																														31.567795999999994	53.714203999999974																		
0055_00027																		11.996186338688046	16.002558211514966	-0.4069948313782317	0.2975005062990535	4.114564803044312	9.672704338886563	0.3333333333333333	0.2360000000000001	337.2820923867979	0	4	2.12	12	12	26	0	39	0	0	-1.8435000000000012	3.3984922500000048	80.29660000000001	1	3	2	2	1	0	0	1	2	0	0	0	0.4317969051817658	128	1327	41	48.427019177556005	2.0177924657315	24.250611179011187	21.143983077107272	3.106628101903918	5.700439718141093		145.55	0.8333333333333334		0.45454545454545453	0	0	0	0	4.74510280626355	10.86224339622471	0	14.576969480474265	0	0	3.2177371762009135	3.3887333078845274	0.4999999999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	2	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.781065088757398	7.7091412742382275	3.7588757396449703	0.3333333333333333	1129.09	0.7083333333333334	450	17.43035694138864	11.396754605515326	10.643586071929874	9.302866824656522	7.404942799942017	5.575272130422436	3.778145319914986	2.500072322370807	12.195350235751546	7.094391690181203	5.388331683794949	3.8453337387751914	2.558751147772403	1.5928250736069016	0.8264245184326352	0.43048624522210643	5.037885033960314	7.7312692108029095	10.779316931832703	1.4370459924776018	1.7793281639367529	1.9082811174646295	1.8879674867156715	0	0.7529194328714232	0	0.6926734723289432	0	0.142474433581116	0	0	0	0.09622504486493763	0.3203325735394947	0.6191292590689473	0	0	0.036084391824351615	0.11367578040056646	0.15834955433013062	0	0	3	5	2	1	4	0	0	1327.2909993929775	1583.116919467447	2261.5719856207197	2218.1601376212134	1827.0262531041576	30.555732585604048	29.653283637686528	45.471240586020066	52.23330068244898	47.23339097468037	1.0020646955377912	-0.3666223444516988	-0.16141805360614744	-0.018793366990247428	-0.017410985558177747	5	9																														22.806105000000002	43.91789499999999																		
0055_00031																		11.996355150736381	15.998703372269246	-0.4161642367712152	0.37123300395979114	4.084080506677925	8.520386252502497	0.8333333333333334	-1.616	145.15668166255588	0	1	1.6800000000000002	2	6	10	3	21	0	0	-2.849899999999999	8.121930009999994	30.376200000000008	1	1	0	1	0	0	0	1	0	0	0	0	0.44666892523522006	48	113	11	19.169390471102624	1.9169390471102623	10.486020279420126	7.302621618958184	3.1833986604619433	4.321928094887363		64.8	0.6666666666666666		0.4	0	0.8164965809277259	1.1447142425533319	0	0.4999999999999999	3.965406456500188	0	1.6509636244473134	0	0	0.814325284978472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.1	2.938775510204082	1.75	0.8333333333333334	351.04	0.5	75	7.723614639131599	4.609060905280623	4.461731666883482	3.0358948855145376	2.5318489037470315	1.3324119311601161	0.434912618041455	0.1111111111111111	5.740872567643894	3.840994411873879	3.495958092466302	2.6438969228812588	1.8744119141390505	0.7538848343109852	0.14116514652269038	0.027777777777777776	1.7833586325619388	2.73722527192252	2.8174853672551072	1.2235480948543365	1.4826522070845904	0.9904018009092901	0.9937934918116165	0	0.23230780835289197	0	0.6290994448735805	0	0.11785113019775793	0	0	0	0.09622504486493763	0.24800564528543081	0.31844726708715987	0	0	0.13608276348795434	0.26498220717695	0.18710625243928264	0	0	1	0	0	1	3	0	0	445.28961240429715	502.4089009179692	667.020719454102	437.8316366132815	234.03067328515633	12.683387407899318	11.494821730939027	16.60138274361254	13.65666072259754	10.656735817060518	0.4601156162945197	-0.2157771357368465	-0.11764185267423449	0.2778491378576526	-0.2832656923606465	2	3																														15.261276999999998	21.400723																		
0055_00032																		11.85	15.994918158003799	-0.28041238292254594	0.2031128418852578	4.633222140644235	9.805570182766685	0.4	-0.4650000000000001	176.21545935543085	0	1	2.23	6	8	14	0	25	0	0	-0.042100000000001164	0.001772410000000098	52.04970000000001	0	2	1	2	1	0	0	1	1	0	0	0	0.18552489761701765	66	238	17	26.23217650746468	2.017859731343437	8.749302485122083	2.5079271091907938	6.241375375931288	4.807354922057604		32.67	0.75		0.42857142857142855	0	1.4867477590984401	1.3103706971044482	0	5.688218364190332	7.816338163262254	0	1.6509636244473134	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	1	0	2	0	0	4	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.551020408163266	4.022160664819944	1.92	0.4	520.03	0.8461538461538461	150	9.259148545064338	6.287693700234705	5.475695616655079	4.783585247502916	3.630433333860207	2.548581450323277	1.3953303993580164	0.8745565823703956	7.603640389785005	4.444034959231595	3.3454751843995485	2.5617311779403176	1.7673626721202973	0.9547781617602493	0.4539385686997051	0.23340908032686983	2.067282172039849	3.0105297143714975	3.55141028114857	0.9638424554958168	1.2956703685149267	1.186025592369658	0.7309017802800121	0	0.2826915653637701	0	0.3811613050928362	0	0.11334037705626956	0	0	0	0.09622504486493763	0.35006771790139657	0.34482914120676633	0	0	0.06454972243679027	0.14802209723991958	0.12341551435922754	0	0	3	2	1	0	3	0	0	742.0349149194949	854.8547551151128	1155.1582811568605	956.6153533199467	652.8093424169925	14.494429638093907	15.163001643034793	20.716463240101408	18.661003664119477	13.024436144769936	0.2754196559589891	-0.16680205098247644	0.08294801093112004	-0.07934892273804843	0.08517084989450553	0	3																														17.376483999999998	28.603516000000003																		
