id	bits.on
0422_00001	54,72,113,123,127,131,139,140,143,144,146,150,152,154,157,159,162,163,164,165
0422_00002	53,54,57,72,82,89,90,91,98,105,109,113,120,123,125,126,127,131,132,137,139,140,143,144,145,146,150,152,153,154,155,157,159,162,163,164,165
0422_00003	53,54,66,72,89,90,91,99,104,112,113,123,126,127,131,132,136,139,140,143,144,145,146,150,152,154,157,159,162,163,164,165
0422_00004	113,123,127,131,139,143,146,152,154,157,159,162,163,164,165
0422_00005	53,89,113,123,127,131,139,140,143,144,146,150,152,154,157,159,162,163,164,165
0422_00006	104,113,123,127,131,132,139,143,146,152,154,155,157,159,162,163,164,165
0422_00007	72,93,113,123,126,127,131,139,140,143,144,146,150,152,154,157,159,160,162,163,164,165
0422_00008	54,57,72,89,98,105,113,123,125,127,131,137,139,140,143,144,145,146,150,152,154,157,159,162,163,164,165
0422_00009	54,72,99,113,123,127,131,139,140,143,144,146,150,152,154,157,159,162,163,164,165
0422_00010	53,54,57,62,72,89,90,91,98,105,109,113,120,123,125,126,127,131,132,137,139,140,143,144,145,146,150,152,153,154,155,157,159,160,162,163,164,165
0422_00011	99,113,123,127,131,139,143,146,152,154,157,159,162,163,164,165
0422_00012	53,54,57,62,72,82,89,90,91,98,105,109,113,120,123,125,126,127,131,132,137,139,140,143,144,145,146,150,152,153,154,155,157,159,162,163,164,165
0422_00013	72,89,93,99,113,123,126,127,131,139,140,143,144,146,149,150,152,154,157,159,160,162,163,164,165
0422_00014	53,54,57,62,72,82,89,90,91,98,105,109,113,120,123,125,126,127,131,132,137,139,140,143,144,145,146,150,152,153,154,155,157,159,160,162,163,164,165
0422_00015	72,93,99,113,123,126,127,131,139,140,143,144,146,150,152,154,157,159,160,162,163,164,165
0422_00016	53,54,57,62,72,89,98,105,113,120,123,125,126,127,131,137,139,140,143,144,145,146,150,152,154,157,159,160,162,163,164,165
0422_00017	72,93,99,113,126,127,139,143,144,146,150,152,154,157,159,160,162,163,164,165
0422_00018	53,54,57,62,72,89,98,105,113,125,127,131,137,139,140,143,144,145,146,150,152,154,157,159,162,163,164,165
0422_00019	53,54,57,62,72,89,91,98,105,113,125,127,131,132,137,139,140,143,144,145,146,150,152,154,157,159,162,163,164,165
0422_00020	53,54,57,62,72,89,98,105,113,125,127,131,137,139,140,143,144,145,146,150,152,154,157,159,162,163,164,165
0422_00021	53,57,62,89,91,98,105,113,125,127,131,132,137,139,140,143,144,145,146,152,154,157,159,162,163,164,165
0422_00022	53,57,62,89,98,105,113,125,127,131,137,139,140,143,145,146,152,154,157,159,162,163,164,165
0422_00023	53,57,62,89,98,105,113,125,127,131,137,139,140,143,144,145,146,150,152,154,157,159,162,163,164,165
0422_00024	53,57,62,72,89,98,105,113,125,127,131,137,139,140,143,144,145,146,150,152,154,157,159,162,163,164,165
0422_00025	53,57,62,72,89,98,105,113,125,127,131,137,139,140,143,144,145,146,150,152,154,157,159,162,163,164,165
0422_00026	53,57,62,72,89,93,98,105,113,125,126,127,131,137,139,140,143,144,145,146,150,152,154,157,159,160,162,163,164,165
0422_00027	53,57,62,72,89,93,98,105,113,125,126,127,131,137,139,140,143,144,145,146,150,152,154,157,159,160,162,163,164,165
0422_00028	57,62,89,93,98,105,113,125,126,127,131,137,139,140,143,145,146,152,154,157,159,160,162,163,164,165
0422_00029	53,57,62,89,98,105,113,125,127,131,137,139,140,143,145,146,152,154,157,159,162,163,164,165
0422_00030	53,57,62,89,91,98,105,113,125,127,131,132,137,139,140,143,144,145,146,152,154,157,159,162,163,164,165
0422_00031	53,57,62,72,89,93,98,105,113,125,126,127,131,137,139,140,143,144,145,146,150,152,154,157,159,160,162,163,164,165
0422_00032	53,57,62,72,89,98,105,113,125,127,131,137,139,140,143,144,145,146,150,152,154,157,159,162,163,164,165
0422_00033	53,57,62,89,93,98,105,113,125,126,127,131,137,139,140,143,145,146,152,154,157,159,160,162,163,164,165
